"","aptDong","aptNm","buildYear","buyerGbn","cdealDay","cdealType","dealAmount","dealDay","dealMonth","dealYear","dealingGbn","estateAgentSggNm","excluUseAr","floor","jibun","landLeaseholdGbn","rgstDate","sggCd","slerGbn","umdNm"
"49"," ","역삼동하나빌",2002," "," "," ","67,700",25,1,2021," "," ",52.31,13,"681-26","N"," ",11680," ","역삼동"
"50"," ","삼성동롯데아파트",2000," "," "," ","217,000",27,1,2021," "," ",91.77,4,"17","N"," ",11680," ","삼성동"
"51"," ","한보미도맨션2",1985," "," "," ","330,000",29,1,2021," "," ",126.33,13,"511","N"," ",11680," ","대치동"
"52"," ","채널리저브",2007," "," "," ","155,000",21,1,2021," "," ",84.97,7,"144-14","N"," ",11680," ","삼성동"
"53"," ","한보미도맨션2",1985," "," "," ","249,500",29,1,2021," "," ",84.96,1,"511","N"," ",11680," ","대치동"
"54"," ","은마",1979," "," "," ","237,000",22,1,2021," "," ",84.43,11,"316","N"," ",11680," ","대치동"
"55"," ","역삼푸르지오",2006," "," "," ","205,000",26,1,2021," "," ",59.8848,24,"754-1","N"," ",11680," ","역삼동"
"56"," ","샘터마을",1994," "," "," ","250,000",26,1,2021," "," ",134.438,6,"718","N"," ",11680," ","일원동"
"57"," ","쌍용",1996," ","21.03.23","O","107,000",26,1,2021," "," ",59.91,6,"103","N"," ",11680," ","논현동"
"58"," ","은마",1979," "," "," ","214,500",19,1,2021," "," ",76.79,13,"316","N"," ",11680," ","대치동"
"59"," ","테헤란아이파크",2014," "," "," ","258,000",30,1,2021," "," ",92.6232,2,"709-5","N"," ",11680," ","역삼동"
"60"," ","도곡렉슬",2006," "," "," ","314,800",22,1,2021," "," ",119.8906,11,"527","N"," ",11680," ","도곡동"
"61"," ","대치삼성",2000," "," "," ","270,000",27,1,2021," "," ",97.35,8,"1014-3","N"," ",11680," ","대치동"
"62"," ","래미안강남힐즈",2014," "," "," ","175,000",25,1,2021," "," ",91.96,2,"611","N"," ",11680," ","자곡동"
"63"," ","은마",1979," "," "," ","217,000",26,1,2021," "," ",76.79,5,"316","N"," ",11680," ","대치동"
"64"," ","마일스디오빌",2004," "," "," ","36,000",21,1,2021," "," ",36.29,10,"58-2","N"," ",11680," ","논현동"
"65"," ","개포현대200동",1986," "," "," ","192,000",22,1,2021," "," ",82.2,8,"655-1","N"," ",11680," ","개포동"
"66"," ","현대비젼21",1999," "," "," ","38,800",21,1,2021," "," ",32.65,20,"467-19","N"," ",11680," ","도곡동"
"67"," ","진흥아파트",1984," "," "," ","278,000",18,1,2021," "," ",145.69,7,"65","N"," ",11680," ","청담동"
"68"," ","삼성동힐스테이트 1단지",2008," "," "," ","242,000",22,1,2021," "," ",84.236,7,"16-2","N"," ",11680," ","삼성동"
