mesh-id,category
A004395,Antiglaucoma Preparations and Miotics
A004396,"Beta Blocking Agents, Non-Selective"
A004397,Bradycardia-Causing Agents
A004398,Cytochrome P-450 CYP2D6 Substrates
A004399,Cytochrome P-450 Substrates
A004400,Hypotensive Agents
A004401,Negative Inotrope
A004402,Ophthalmologicals
A004403,Potential QTc-Prolonging Agents
A004404,QTc Prolonging Agents
A004405,Sensory Organs
A004406,Diagnostic Agents
D010186,Pancreatic Function Tests
A004407,Tests for Pancreatic Function
A004408,"Agents for Dermatitis, Excluding Corticosteroids"
A004409,Antineoplastic and Immunomodulating Agents
A004410,Misc. Skin and Mucous Membrane Agents
A004411,P-glycoprotein substrates
A004412,Retinoids for cancer treatment
A004413,Vitamins (Fat Soluble)
A004414,Antihypertensive Agents Indicated for Hypertension
A004415,Drugs that are Mainly Renally Excreted
A004416,Genito Urinary System and Sex Hormones
A004417,Gynecological Antiinfectives and Antiseptics
A004418,Hyperglycemia-Associated Agents
A004419,Hypotensive Agents
A004420,Increased Diuresis
A004421,Low-Ceiling Diuretics and Potassium-Sparing Agents
A004422,"Low-Ceiling Diuretics, Excl. Thiazides"
A004423,Non Potassium Sparing Diuretics
D052999,Quinazolinones
A004424,Thiazide-like Diuretic
A004425,Antifungals for Dermatological Use
A004426,Antifungals for Topical Use
D013859,Thiocarbamates
A004427,Antineoplastic and Immunomodulating Agents
A004428,BCRP/ABCG2 Substrates
A004429,Moderate Risk QTc-Prolonging Agents
A004430,Myelosuppressive Agents
A004431,Narrow Therapeutic Index Drugs
A004432,OCT2 Substrates
A004433,OCT2 Substrates with a Narrow Therapeutic Index
A004434,QTc Prolonging Agents
A004435,Agents for Treatment of Hemorrhoids and Anal Fissures for Topical Use
A004436,Analgesics and Anesthetics
A004437,Anesthetics for Topical Use
A004438,Antipruritics and Local Anesthetics
A004439,"Antipruritics, Incl. Antihistamines, Anesthetics, Etc."
D007111,Cell-mediated Immunity
A004440,Increased Histamine Release
A004441,Local Anesthetics (Amide)
A004442,Ophthalmologicals
A004443,Otologicals
A004444,Sensory Organs
A004445,Standardized Chemical Allergen
A004446,Vasoprotectives
A004447,ACE Inhibitors and Calcium Channel Blockers
A004448,Agents causing hyperkalemia
A004449,Agents Causing Muscle Toxicity
A004450,Angiotensin II receptor blockers (ARBs) and calcium channel blockers
A004451,Bradycardia-Causing Agents
A004452,Cytochrome P-450 CYP2D6 Inhibitors (moderate)
A004453,Cytochrome P-450 CYP2D6 Inhibitors (strength unknown)
A004454,Cytochrome P-450 CYP3A Substrates
A004455,Cytochrome P-450 CYP3A4 Inhibitors (strength unknown)
A004456,Cytochrome P-450 CYP3A4 Substrates
A004457,Cytochrome P-450 CYP3A5 Substrates
A004458,Cytochrome P-450 CYP3A7 Substrates
A004459,Cytochrome P-450 Substrates
A004460,Dihydropyridine Derivatives
A004461,Hypotensive Agents
A004462,Selective Calcium Channel Blockers With Mainly Vascular Effects
A004463,Antiinfectives for Systemic Use
A004464,Antivirals for Systemic Use
A004465,Chelating Activity
A004466,Direct Acting Antivirals
A004467,Nephrotoxic agents
A004468,OAT1/SLC22A6 inhibitors
A004469,Phosphonic Acid Derivatives
A004470,Potential QTc-Prolonging Agents
A004471,Pyrophosphate Analog DNA Polymerase Inhibitor
A004472,QTc Prolonging Agents
A004473,Antineoplastic and Immunomodulating Agents
A004474,BCRP/ABCG2 Inhibitors
A004475,Cytochrome P-450 CYP1A2 Substrates
A004476,Cytochrome P-450 CYP1A2 Substrates with a Narrow Therapeutic Index
A004477,Cytochrome P-450 CYP2C8 Inhibitors (strong)
A004478,Cytochrome P-450 CYP2C8 Substrates
A004479,Cytochrome P-450 CYP2C8 Substrates with a Narrow Therapeutic Index
A004480,Cytochrome P-450 CYP2D6 Substrates
A004481,Cytochrome P-450 CYP2D6 Substrates with a Narrow Therapeutic Index
A004482,Cytochrome P-450 CYP3A Substrates
A004483,Cytochrome P-450 CYP3A4 Inhibitors (strength unknown)
A004484,Cytochrome P-450 CYP3A4 Substrates
A004485,Cytochrome P-450 CYP3A4 Substrates with a Narrow Therapeutic Index
A004486,Cytochrome P-450 CYP3A5 Substrates
A004487,Cytochrome P-450 CYP3A5 Substrates with a Narrow Therapeutic Index
A004488,Cytochrome P-450 Substrates
A004489,Epidermal growth factor receptor (EGFR) tyrosine kinase inhibitors
A004490,Highest Risk QTc-Prolonging Agents
A004491,Kinase Inhibitor
A004492,Narrow Therapeutic Index Drugs
A004493,Organic Anion Transporting Polypeptide 2B1 Inhibitors
A004494,P-glycoprotein inhibitors
A004495,P-glycoprotein substrates
A004496,P-glycoprotein substrates with a Narrow Therapeutic Index
A004497,QTc Prolonging Agents
A004498,Tyrosine Kinase Inhibitors
A004499,UGT1A1 Inhibitors
A004500,Alkylating Activity
A004501,Antineoplastic and Immunomodulating Agents
A004502,Cardiotoxic antineoplastic agents
A004503,Cytochrome P-450 CYP2A6 Substrates
A004504,Cytochrome P-450 CYP2A6 Substrates with a Narrow Therapeutic Index
A004505,Cytochrome P-450 CYP2B6 Inducers (strength unknown)
A004506,Cytochrome P-450 CYP2B6 Substrates
A004507,Cytochrome P-450 CYP2B6 Substrates with a Narrow Therapeutic Index
A004508,Cytochrome P-450 CYP2C18 Substrates
A004509,Cytochrome P-450 CYP2C18 Substrates with a Narrow Therapeutic Index
A004510,Cytochrome P-450 CYP2C19 Substrates
A004511,Cytochrome P-450 CYP2C19 Substrates with a Narrow Therapeutic Index
A004512,Cytochrome P-450 CYP2C8 Inducers (strength unknown)
A004513,Cytochrome P-450 CYP2C8 Substrates
A004514,Cytochrome P-450 CYP2C8 Substrates with a Narrow Therapeutic Index
A004515,Cytochrome P-450 CYP2C9 Substrates
A004516,Cytochrome P-450 CYP2C9 Substrates with a Narrow Therapeutic Index
A004517,Cytochrome P-450 CYP3A Substrates
A004518,Cytochrome P-450 CYP3A4 Inducers (strength unknown)
A004519,Cytochrome P-450 CYP3A4 Substrates
A004520,Cytochrome P-450 CYP3A4 Substrates with a Narrow Therapeutic Index
A004521,Cytochrome P-450 CYP3A5 Substrates
A004522,Cytochrome P-450 CYP3A5 Substrates with a Narrow Therapeutic Index
A004523,Cytochrome P-450 Substrates
A004524,Methemoglobinemia Associated Agents
D009153,Mutagens
D019653,Myeloablative Agonists
A004525,Myelosuppressive Agents
A004526,Narrow Therapeutic Index Drugs
A004527,Neurotoxic agents
A004528,Nitrogen Mustard Analogues
D010752,Phosphoramide Mustards
D063088,Phosphoramides
A004529,Anti-epileptic Agent
A004530,Cytochrome P-450 CYP1A2 Substrates
A004531,Cytochrome P-450 CYP2B6 Substrates
A004532,Cytochrome P-450 CYP2C19 inhibitors (strength unknown)
A004533,Cytochrome P-450 CYP2C19 Substrates
A004534,Cytochrome P-450 CYP2C8 Substrates
A004535,Cytochrome P-450 CYP2C9 Substrates
A004536,Cytochrome P-450 CYP2D6 Substrates
A004537,Cytochrome P-450 Substrates
A004538,Decreased Central Nervous System Disorganized Electrical Activity
A004539,Thyroxine-binding globulin substrates
A004540,Agents causing hyperkalemia
A004541,Agents that produce hypertension
A004542,Antiinflammatory and Antirheumatic Products
A004543,"Antiinflammatory and Antirheumatic Products, Non-Steroids"
A004544,Cytochrome P-450 CYP1A2 Inhibitors (strong)
A004545,Cytochrome P-450 CYP1A2 Substrates
A004546,Cytochrome P-450 CYP2C8 Inhibitors (weak)
A004547,Cytochrome P-450 CYP2C9 Substrates
A004548,Cytochrome P-450 CYP3A Substrates
A004549,Cytochrome P-450 CYP3A4 Inducers (strength unknown)
A004550,Cytochrome P-450 CYP3A4 Substrates
A004551,Cytochrome P-450 Substrates
A004552,Musculo-Skeletal System
A004553,Nephrotoxic agents
A004554,Selective Cyclooxygenase 2 Inhibitors (NSAIDs)
D000479,Alkylmercury Compounds
D009941,Organomercury Compounds
A004555,Antibacterials for Systemic Use
A004556,Antiinfectives for Systemic Use
A004557,Drugs that are Mainly Renally Excreted
A004558,OAT1/SLC22A6 Substrates
A004559,OAT3/SLC22A8 Substrates
A004560,Third-Generation Cephalosporins
A004561,Acetylcholine Releasing Agent
A004562,Increased Acetylcholine Activity
A004563,MATE 1 Substrates
A004564,MATE 2 Substrates
A004565,MATE substrates
A004566,OAT3/SLC22A8 Inhibitors
A004567,OCT1 inhibitors
A004568,OCT2 Inhibitors
A004569,Agents Causing Muscle Toxicity
A004570,Antibacterials for Systemic Use
A004571,Antiinfectives for Systemic Use
A004572,Cytochrome P-450 CYP1A2 Inhibitors (strong)
A004573,Cytochrome P-450 CYP3A4 Inhibitors (moderate)
A004574,Cytochrome P-450 CYP3A5 Inhibitors (moderate)
A004575,Cytochrome P-450 CYP3A7 Inhibitors (moderate)
A004576,Drugs causing inadvertant photosensitivity
A004577,Drugs that are Mainly Renally Excreted
A004578,MATE 1 Inhibitors
A004579,MATE 1 Substrates
A004580,MATE 2 Inhibitors
A004581,MATE inhibitors
A004582,MATE substrates
A004583,Moderate Risk QTc-Prolonging Agents
A004584,Ophthalmological and Otological Preparations
A004585,Ophthalmologicals
A004586,Otologicals
A004587,P-glycoprotein substrates
A004588,QTc Prolonging Agents
A004589,Quinolone Antimicrobial
A004590,Sensory Organs
A004591,Gadolinium-based Contrast Agent
A004592,Magnetic Resonance Contrast Activity
A004593,Magnetic Resonance Imaging Contrast Media
A004594,Other Diagnostics
A004595,Paramagnetic Contrast Agent
A004596,Paramagnetic Contrast Media
A004597,Anti-Estrogens
A004598,Antineoplastic and Immunomodulating Agents
A004599,Cytochrome P-450 CYP3A Substrates
A004600,Cytochrome P-450 CYP3A4 Inhibitors (strength unknown)
A004601,Cytochrome P-450 CYP3A4 Substrates
A004602,Cytochrome P-450 Substrates
A004603,Endocrine Therapy
A004604,Estrogen Agonist/Antagonist
A004605,Highest Risk QTc-Prolonging Agents
A004606,Hormone Antagonists and Related Agents
A004607,P-glycoprotein inhibitors
A004608,P-glycoprotein substrates
A004609,QTc Prolonging Agents
A004610,Agents producing tachycardia
A004611,Agents that produce hypertension
A004612,Agents that reduce seizure threshold
A004613,Antidepressive Agents Indicated for Depression
A004614,Combined Inhibitors of Serotonin/Norepinephrine Reuptake
A004615,Cytochrome P-450 CYP1A2 Substrates
A004616,Cytochrome P-450 CYP1A2 Substrates with a Narrow Therapeutic Index
A004617,Cytochrome P-450 CYP2C19 Substrates
A004618,Cytochrome P-450 CYP2C19 Substrates with a Narrow Therapeutic Index
A004619,Cytochrome P-450 CYP2D6 Inhibitors (strength unknown)
A004620,Cytochrome P-450 CYP2D6 Substrates
A004621,Cytochrome P-450 CYP2D6 Substrates with a Narrow Therapeutic Index
A004622,Cytochrome P-450 CYP2E1 Inhibitors (strength unknown)
A004623,Cytochrome P-450 CYP3A Substrates
A004624,Cytochrome P-450 CYP3A4 Substrates
A004625,Cytochrome P-450 CYP3A4 Substrates with a Narrow Therapeutic Index
A004626,Cytochrome P-450 CYP3A5 Substrates
A004627,Cytochrome P-450 CYP3A5 Substrates with a Narrow Therapeutic Index
A004628,Cytochrome P-450 Substrates
A004629,Narrow Therapeutic Index Drugs
A004630,Neurotoxic agents
A004631,Non-Selective Monoamine Reuptake Inhibitors
A004632,P-glycoprotein substrates
A004633,P-glycoprotein substrates with a Narrow Therapeutic Index
A004634,Potential QTc-Prolonging Agents
A004635,Psychoanaleptics
A004636,QTc Prolonging Agents
A004637,Serotonin Modulators
A004638,Tricyclics and Other Norepinephrine-reuptake Inhibitors
A004639,Agents Causing Muscle Toxicity
A004640,Antineoplastic and Immunomodulating Agents
A004641,BCRP/ABCG2 Substrates
A004642,BSEP/ABCB11 Substrates
A004643,BSEP/ABCB11 Substrates with a Narrow Therapeutic Index
A004644,Cardiotoxic antineoplastic agents
A004645,Cytochrome P-450 CYP3A Substrates
A004646,Cytochrome P-450 CYP3A4 Substrates
A004647,Cytochrome P-450 CYP3A4 Substrates with a Narrow Therapeutic Index
A004648,Cytochrome P-450 CYP3A5 Substrates
A004649,Cytochrome P-450 CYP3A5 Substrates with a Narrow Therapeutic Index
A004650,Cytochrome P-450 CYP3A7 Substrates
A004651,Cytochrome P-450 CYP3A7 Substrates with a Narrow Therapeutic Index
A004652,Cytochrome P-450 Substrates
A004653,Narrow Therapeutic Index Drugs
A004654,Neurotoxic agents
A004655,OATP1B1/SLCO1B1 Inhibitors
A004656,OATP1B3 inhibitors
A004657,P-glycoprotein inducers
A004658,P-glycoprotein inhibitors
A004659,P-glycoprotein substrates
A004660,P-glycoprotein substrates with a Narrow Therapeutic Index
A004661,ACE Inhibitors and Diuretics
A004662,Agents Acting on the Renin-Angiotensin System
A004663,Agents causing angioedema
A004664,Agents causing hyperkalemia
A004665,Antihypertensive Agents Indicated for Hypertension
A004666,Decreased Blood Pressure
A004667,Drugs causing inadvertant photosensitivity
A004668,Hypotensive Agents
A004669,Agents producing tachycardia
A004670,Agents that produce hypertension
A004671,Agents that reduce seizure threshold
A004672,Antidepressive Agents Indicated for Depression
A004673,"Antidepressive Agents, Tetracyclic"
A004674,Combined Inhibitors of Serotonin/Norepinephrine Reuptake
A004675,Cytochrome P-450 CYP2D6 Inhibitors (strength unknown)
A004676,Cytochrome P-450 CYP2D6 Substrates
A004677,Cytochrome P-450 CYP2D6 Substrates with a Narrow Therapeutic Index
A004678,Cytochrome P-450 Substrates
A004679,Narrow Therapeutic Index Drugs
A004680,Neurotoxic agents
A004681,Non-Selective Monoamine Reuptake Inhibitors
A004682,P-glycoprotein inhibitors
A004683,Potential QTc-Prolonging Agents
A004684,Psychoanaleptics
A004685,QTc Prolonging Agents
A004686,Serotonin Modulators
A004687,Antineoplastic and Immunomodulating Agents
A004688,BCRP/ABCG2 Substrates
A004689,Cardiotoxic antineoplastic agents
A004690,Cytochrome P-450 CYP1A2 Substrates
A004691,Cytochrome P-450 CYP1A2 Substrates with a Narrow Therapeutic Index
A004692,Cytochrome P-450 CYP2A6 Substrates
A004693,Cytochrome P-450 CYP2A6 Substrates with a Narrow Therapeutic Index
A004694,Cytochrome P-450 CYP2C8 Substrates
A004695,Cytochrome P-450 CYP2C8 Substrates with a Narrow Therapeutic Index
A004696,Cytochrome P-450 CYP2C9 Inhibitors (strength unknown)
A004697,Cytochrome P-450 Substrates
A004698,Drugs causing inadvertant photosensitivity
A004699,Fluoropyrimidines
D005472,Fluorouracil and prodrugs
A004700,Misc. Skin and Mucous Membrane Agents
A004701,Moderate Risk QTc-Prolonging Agents
A004702,Myelosuppressive Agents
A004703,Narrow Therapeutic Index Drugs
A004704,Nucleoside Metabolic Inhibitor
A004705,Pyrimidine Analogues
A004706,QTc Prolonging Agents
A004707,Thyroxine-binding globulin inducers
A004708,Cholinesterase substrates
A004709,Cytochrome P-450 CYP3A4 Inducers (weak)
A004710,Parasympathomemetic (Cholinergic) Agents
D011726,Pyridinium Compounds
A004711,Cytochrome P-450 CYP2C19 Substrates
A004712,Cytochrome P-450 CYP3A Substrates
A004713,Cytochrome P-450 CYP3A4 Substrates
A004714,Cytochrome P-450 Substrates
A004715,Psycholeptics
A004716,Triazolobenzodiazepines
A004717,Corticosteroid Hormone Receptor Agonists
A004718,"Corticosteroids, Dermatological Preparations"
A004719,"Corticosteroids, Potent (Group III)"
A004720,Anti-Acne Preparations
A004721,Anti-Acne Preparations for Topical Use
A004722,Decreased Protein Synthesis
A004723,Decreased Sebaceous Gland Activity
A004724,Drugs that are Mainly Renally Excreted
A004725,Misc. Skin and Mucous Membrane Agents
A004726,Agents to Treat Airway Disease
A004727,Cytochrome P-450 CYP1A2 Inhibitors (strength unknown)
A004728,Cytochrome P-450 CYP1A2 Inhibitors (strong)
A004729,Cytochrome P-450 CYP2C19 Inhibitors (moderate)
A004730,Cytochrome P-450 CYP2C19 Inhibitors (strong)
A004731,Cytochrome P-450 CYP2C8 Inhibitors (strength unknown)
A004732,Cytochrome P-450 CYP2C8 Inhibitors (strong)
A004733,Cytochrome P-450 CYP2C8 Substrates
A004734,Cytochrome P-450 CYP2C9 Inhibitors (strength unknown)
A004735,Cytochrome P-450 CYP2C9 Substrates
A004736,Cytochrome P-450 CYP2D6 Inhibitors (strength unknown)
A004737,Cytochrome P-450 CYP2E1 Inhibitors (weak)
A004738,Cytochrome P-450 CYP3A Substrates
A004739,Cytochrome P-450 CYP3A4 Inhibitors (strength unknown)
A004740,Cytochrome P-450 CYP3A4 Substrates
A004741,Cytochrome P-450 CYP3A4 Substrates (strength unknown)
A004742,Cytochrome P-450 Substrates
A004743,Drugs for Obstructive Airway Diseases
A004744,Leukotriene Modifiers
A004745,Agents Causing Muscle Toxicity
A004746,Myelosuppressive Agents
A004747,"Systemic Hormonal Preparations, Excl. Sex Hormones and Insulins"
D013889,Thiouracil
A004748,Thiouracils
A004749,Thyroid Hormone Synthesis Inhibitor
A004750,Thyroid Hormone Synthesis Inhibitors
A004751,Genito Urinary System and Sex Hormones
A004752,Urease Inhibitor
A004753,Urease Inhibitors
A004754,Urologicals
D058892,Adenosine Deaminase Inhibitors
A004755,Antineoplastic and Immunomodulating Agents
A004756,Cancer immunotherapy
A004757,Cardiotoxic antineoplastic agents
D003070,Coformycin
A004758,Drugs that are Mainly Renally Excreted
A004759,Drugs that are Mainly Renally Excreted with a Narrow Therapeutic Index
D005573,Formycins
A004760,Myelosuppressive Agents
A004761,Narrow Therapeutic Index Drugs
A004762,Nucleoside Metabolic Inhibitor
A004763,Antipsoriatics
A004764,Antipsoriatics for Systemic Use
A004765,Antipsoriatics for Topical Use
D004396,Coloring Agents
A004766,Cytochrome P-450 CYP1A2 Inhibitors (strength unknown)
A004767,Cytochrome P-450 CYP2A6 Inhibitors
A004768,Cytochrome P-450 CYP2A6 Inhibitors (strength unknown)
A004769,Drugs that are Mainly Renally Excreted
D011564,Furocoumarins
A004770,Photoabsorption
A004771,Photoactivated Radical Generator
A004772,Photosensitizing Activity
A004773,Photosensitizing Agents for Phototherapy
A004774,Psoralens for Systemic Use
A004775,Psoralens for Topical Use
A004776,Agents causing hyperkalemia
A004777,Agents that produce hypertension
A004778,"Anti-Inflammatory Agents, Non-Steroidal (Non-Selective)"
A004779,Antiinflammatory and Antirheumatic Products
A004780,"Antiinflammatory and Antirheumatic Products, Non-Steroids"
A004781,"Antiinflammatory Preparations, Non-Steroids for Topical Use"
A004782,Cytochrome P-450 CYP2C8 Substrates
A004783,Cytochrome P-450 CYP2C9 Substrates
A004784,Cytochrome P-450 Substrates
A004785,Drugs causing inadvertant photosensitivity
A004786,Drugs that are Mainly Renally Excreted
A004787,Musculo-Skeletal System
A004788,Nephrotoxic agents
A004789,Non COX-2 selective NSAIDS
A004790,OAT1/SLC22A6 inhibitors
A004791,OAT3/SLC22A8 Inhibitors
A004792,Ophthalmologicals
A004793,Organic Anion Transporting Polypeptide 2B1 Inhibitors
A004794,Other Nonsteroidal Anti-inflammatory Agents
A004795,Oxicams
A004796,Sensory Organs
A004797,Topical Products for Joint and Muscular Pain
A004798,Agents causing hyperkalemia
A004799,Agents producing tachycardia
A004800,Anti-epileptic Agent
A004801,Bradycardia-Causing Agents
A004802,Decreased Central Nervous System Disorganized Electrical Activity
A004803,Drugs causing inadvertant photosensitivity
A004804,Drugs that are Mainly Renally Excreted
A004805,Miscellaneous Anticonvulsants
A004806,Mood Stabilizer
A004807,OCT1 substrates
A004808,OCT2 Inhibitors
A004809,P-glycoprotein inhibitors
A004810,P-glycoprotein substrates
A004811,Potential QTc-Prolonging Agents
A004812,QTc Prolonging Agents
A004813,UGT1A1 Inducers
A004814,UGT1A1 Substrates
A004815,UGT1A3 substrates
A004816,UGT1A4 substrates
D006845,"Hydrocarbons, Fluorinated"
D008863,Microspheres
A004817,Moderate Risk QTc-Prolonging Agents
A004818,Other Diagnostics
A004819,QTc Prolonging Agents
A004820,Ultrasound Contrast Activity
A004821,Ultrasound Contrast Media
A004822,Cytochrome P-450 CYP2D6 Inhibitors (strength unknown)
A004823,Cytochrome P-450 CYP3A Substrates
A004824,Cytochrome P-450 CYP3A4 Substrates
A004825,Cytochrome P-450 CYP3A5 Substrates
A004826,Cytochrome P-450 Substrates
A004827,Diphenylmethane Derivatives
A004828,Histamine Receptor Antagonists
A004829,Miscellaneous Anxiolytics Sedatives and Hypnotics
A004830,P-glycoprotein substrates
A004831,Potential QTc-Prolonging Agents
A004832,Psycholeptics
A004833,QTc Prolonging Agents
A004834,Antiinfectives for Systemic Use
A004835,Antivirals for Systemic Use
A004836,Direct Acting Antivirals
A004837,Drugs that are Mainly Renally Excreted
D009438,Neuraminic Acids
A004838,Neuraminidase Inhibitors
D012794,Sialic Acids
A004839,Antihypertensives for Pulmonary Arterial Hypertension
A004840,BSEP/ABCB11 Inhibitors
A004841,Cytochrome P-450 CYP2C9 Inducers (moderate)
A004842,Cytochrome P-450 CYP2C9 Substrates
A004843,Cytochrome P-450 CYP3A Substrates
A004844,Cytochrome P-450 CYP3A4 Inducers (moderate)
A004845,Cytochrome P-450 CYP3A4 Substrates
A004846,Cytochrome P-450 Substrates
D065128,Endothelin Receptor Antagonists
A004847,Genito Urinary System and Sex Hormones
A004848,Gynecological Antiinfectives and Antiseptics
A004849,Hepatotoxic Agents
A004850,OATP1B1/SLCO1B1 Substrates
A004851,Agents that produce neuromuscular block (indirect)
A004852,Antibacterials for Systemic Use
A004853,Antiinfectives for Systemic Use
A004854,Glycylcyclines
A004855,Agents that produce hypertension
A004856,Increased Medullary Respiratory Drive
D011760,Pyrrolidinones
A004857,Genito Urinary System and Sex Hormones
A004858,Gynecological Antiinfectives and Antiseptics
A004859,Hyperglycemia-Associated Agents
A004860,Stimulants
A004861,Agents Causing Muscle Toxicity
A004862,Antineoplastic and Immunomodulating Agents
A004863,BCRP/ABCG2 Substrates
A004864,Cancer immunotherapy
A004865,Cardiotoxic antineoplastic agents
A004866,Cytochrome P-450 CYP3A Substrates
A004867,Cytochrome P-450 CYP3A4 Substrates
A004868,Cytochrome P-450 CYP3A4 Substrates with a Narrow Therapeutic Index
A004869,Cytochrome P-450 Substrates
A004870,Drugs causing inadvertant photosensitivity
A004871,Drugs that are Mainly Renally Excreted
A004872,Folic Acid Analogues
A004873,Hepatotoxic Agents
A004874,Myelosuppressive Agents
A004875,Narrow Therapeutic Index Drugs
A004876,Nephrotoxic agents
A004877,OAT1/SLC22A6 inhibitors
A004878,OAT3/SLC22A8 Inhibitors
A004879,OAT3/SLC22A8 Substrates
A004880,OAT3/SLC22A8 Substrates with a Narrow Therapeutic Index
A004881,OATP1B1/SLCO1B1 Substrates
A004882,OATP1B3 substrates
A004883,P-glycoprotein substrates
A004884,P-glycoprotein substrates with a Narrow Therapeutic Index
A004885,Carboxamide Derivatives
A004886,Cytochrome P-450 CYP1A2 Inducers (strong)
A004887,Cytochrome P-450 CYP1A2 Inhibitors (strength unknown)
A004888,Cytochrome P-450 CYP1A2 Substrates
A004889,Cytochrome P-450 CYP1A2 Substrates with a Narrow Therapeutic Index
A004890,Cytochrome P-450 CYP2B6 Inducers (strong)
A004891,Cytochrome P-450 CYP2B6 Substrates
A004892,Cytochrome P-450 CYP2B6 Substrates with a Narrow Therapeutic Index
A004893,Cytochrome P-450 CYP2C19 Inducers (moderate)
A004894,Cytochrome P-450 CYP2C19 inhibitors (strength unknown)
A004895,Cytochrome P-450 CYP2C8 Inducers (strength unknown)
A004896,Cytochrome P-450 CYP2C8 Substrates
A004897,Cytochrome P-450 CYP2C8 Substrates with a Narrow Therapeutic Index
A004898,Cytochrome P-450 CYP2C9 Inducers (strength unknown)
A004899,Cytochrome P-450 CYP3A Inducers (strong)
A004900,Cytochrome P-450 CYP3A Substrates
A004901,Cytochrome P-450 CYP3A4 Inducers (strong)
A004902,Cytochrome P-450 CYP3A4 Substrates
A004903,Cytochrome P-450 CYP3A4 Substrates with a Narrow Therapeutic Index
A004904,Cytochrome P-450 CYP3A5 Inducers (strength unknown)
A004905,Cytochrome P-450 CYP3A5 Inducers (strong)
A004906,Cytochrome P-450 CYP3A5 Substrates
A004907,Cytochrome P-450 CYP3A5 Substrates with a Narrow Therapeutic Index
A004908,Cytochrome P-450 Substrates
A004909,Decreased Central Nervous System Disorganized Electrical Activity
A004910,Drugs that are Mainly Renally Excreted
A004911,Drugs that are Mainly Renally Excreted with a Narrow Therapeutic Index
A004912,Enzyme Inducing Antiepileptic Drugs
A004913,Inducers of Drug Clearance
A004914,Miscellaneous Anticonvulsants
A004915,Mood Stabilizer
A004916,Myelosuppressive Agents
A004917,Narrow Therapeutic Index Drugs
A004918,P-glycoprotein inducers
A004919,P-glycoprotein substrates
A004920,Thyroxine-binding globulin substrates
A004921,UGT1A1 Inducers
A004922,UGT1A6 inducer
A004923,UGT2B7 substrates
A004924,UGT2B7 Substrates with a Narrow Therapeutic Index
A004925,Muscle Relaxants
A004926,"Muscle Relaxants, Peripherally Acting Agents"
A004927,Musculo-Skeletal System
A004928,Neuromuscular Nondepolarizing Blockade
A004929,Lead Chelating Activity
A004930,Lead Chelator
A004931,Antibacterials for Systemic Use
A004932,Antiinfectives for Systemic Use
A004933,Cytochrome P-450 CYP3A Substrates
A004934,Cytochrome P-450 CYP3A4 Substrates
A004935,Cytochrome P-450 CYP3A4 Substrates (strength unknown)
A004936,Cytochrome P-450 Substrates
A004937,Drugs that are Mainly Renally Excreted
A004938,First-Generation Cephalosporins
A004939,MATE 1 Substrates
A004940,MATE substrates
A004941,Nephrotoxic agents
A004942,OAT1/SLC22A6 inhibitors
A004943,OAT1/SLC22A6 Substrates
A004944,OAT3/SLC22A8 Inhibitors
A004945,OAT3/SLC22A8 Substrates
A004946,Agents causing hyperkalemia
A004947,Antivertigo Preparations
A004948,Bradycardia-Causing Agents
A004949,Cytochrome P-450 CYP1A2 Substrates
A004950,Cytochrome P-450 CYP2A6 Substrates
A004951,Cytochrome P-450 CYP2B6 Substrates
A004952,Cytochrome P-450 CYP2C9 Substrates
A004953,Cytochrome P-450 CYP2D6 Substrates
A004954,Cytochrome P-450 CYP3A Substrates
A004955,Cytochrome P-450 CYP3A4 Substrates
A004956,Cytochrome P-450 Substrates
A004957,Moderate Risk QTc-Prolonging Agents
A004958,QTc Prolonging Agents
A004959,Blood and Blood Forming Organs
A004960,Drugs that are Mainly Renally Excreted
D065427,Factor Xa Inhibitors
A004961,Indirect factor Xa inhibitors
A004962,Miscellaneous Anticoagulants
A004963,Antineoplastic and Immunomodulating Agents
A004964,BSEP/ABCB11 Inhibitors
A004965,BSEP/ABCB11 Substrates
A004966,BSEP/ABCB11 Substrates with a Narrow Therapeutic Index
A004967,Cardiotoxic antineoplastic agents
A004968,Cytochrome P-450 CYP2D6 Inhibitors (weak)
A004969,Cytochrome P-450 CYP3A Substrates
A004970,Cytochrome P-450 CYP3A4 Inducers (strength unknown)
A004971,Cytochrome P-450 CYP3A4 Inhibitors (strength unknown)
A004972,Cytochrome P-450 CYP3A4 Substrates
A004973,Cytochrome P-450 CYP3A4 Substrates with a Narrow Therapeutic Index
A004974,Cytochrome P-450 Substrates
A004975,Myelosuppressive Agents
A004976,Narrow Therapeutic Index Drugs
A004977,OATP1B1/SLCO1B1 Inhibitors
A004978,P-glycoprotein inducers
A004979,P-glycoprotein inhibitors
A004980,P-glycoprotein substrates
A004981,P-glycoprotein substrates with a Narrow Therapeutic Index
A004982,Agents causing hyperkalemia
A004983,Antihypertensive Agents Indicated for Hypertension
A004984,Beta Blocking Agents and Thiazides
A004985,"Beta Blocking Agents, Non-Selective"
A004986,"Beta Blocking Agents, Non-Selective, and Thiazides"
A004987,Bradycardia-Causing Agents
A004988,Cytochrome P-450 CYP1A2 Substrates
A004989,Cytochrome P-450 CYP2C19 Substrates
A004990,Cytochrome P-450 CYP2D6 Inhibitors (weak)
A004991,Cytochrome P-450 CYP2D6 Substrates
A004992,Cytochrome P-450 CYP3A Substrates
