mesh-id,category
A000083,"Bone Density, drug effects"
D002116,Calcitonin Preparations
A000084,Calcium Homeostasis
D000077264,Calcium-Regulating Hormones and Agents
A000085,Drugs that are Mainly Renally Excreted
A000086,Parathyroid and Antiparathyroid Agents
A000087,Parathyroid Hormones and Analogues
A000088,"Systemic Hormonal Preparations, Excl. Sex Hormones and Insulins"
D013972,Thyroid Products
A000089,Alfa Interferons
A000090,Cytochrome P-450 CYP1A2 Inhibitors (strength unknown)
A000091,Interferon alpha
D016898,Interferon-alpha
A000092,Myelosuppressive Agents
A000093,Antineoplastic and Immunomodulating Agents
D002241,Carbohydrates
D006001,Glycoconjugates
D016179,Granulocyte Colony-Stimulating Factors
A000094,Increased Myeloid Cell Production
A000095,Leukocyte Growth Factor
A000096,Pegylated agents
A000097,Antineoplastic and Immunomodulating Agents
D016178,Granulocyte-Macrophage Colony-Stimulating Factor
A000098,Increased Myeloid Cell Production
A000099,Leukocyte Growth Factor
A000100,Alfa Interferons
A000101,Antineoplastic and Immunomodulating Agents
A000102,Cancer immunotherapy
A000103,Cytochrome P-450 CYP1A2 Inhibitors (strength unknown)
D065698,Cytochrome P-450 CYP2C9 Inducers
A000104,Cytochrome P-450 CYP2C9 Inducers (weak)
D065690,Cytochrome P-450 CYP2D6 Inhibitors
A000105,Cytochrome P-450 CYP2D6 Inhibitors (weak)
D065693,Cytochrome P-450 Enzyme Inducers
D006526,Hepatitis C
A000106,Interferon alpha
A000107,Myelosuppressive Agents
A000108,Pegylated agents
A000109,Treatments for Hepatitis C
D000581,Amidohydrolases
A000110,Antineoplastic and Immunomodulating Agents
D001215,Asparaginase
A000111,Asparagine-specific Enzyme
A000112,Narrow Therapeutic Index Drugs
A000113,Thyroxine-binding globulin inhibitors
A000114,Agents used to treat hypothyroidism
A000115,Anterior Pituitary Lobe Hormones and Analogues
A000116,Pituitary and Hypothalamic Hormones and Analogues
D010907,Pituitary Hormones
D010908,"Pituitary Hormones, Anterior"
A000117,"Systemic Hormonal Preparations, Excl. Sex Hormones and Insulins"
A000118,Blood and Blood Forming Organs
D001779,Blood Coagulation Factors
D004187,Disaccharides
D006467,Hemophilia A
D006490,Hemostatics
A000119,Human Antihemophilic Factors
A000120,Increased Coagulation Activity
D009844,Oligosaccharides
D011134,Polysaccharides
D011498,Protein Precursors
A000121,Agents reducing cytokine levels
A000122,Antineoplastic and Immunomodulating Agents
A000123,Biologics for Rheumatoid Arthritis Treatment
A000124,Disease-modifying Antirheumatic Agents
D000088902,Interleukin Inhibitors
A000125,Interleukin-1 Receptor Antagonist
D000900,Anti-Bacterial Agents
D000891,"Anti-Infective Agents, Local"
A000126,P-glycoprotein inhibitors
A000127,P-glycoprotein substrates
D010456,"Peptides, Cyclic"
D052899,Pore Forming Cytotoxic Proteins
A000128,Throat Preparations
A000129,Antigen Neutralization
A000130,Human Immunoglobulin G
D007074,Immunoglobulin G
A000131,Passively Acquired Immunity
D044967,Serum
A000132,Agents causing angioedema
A000133,Blood and Blood Forming Organs
A000134,Alimentary Tract and Metabolism
D007004,Blood Glucose Lowering Agents
D065694,Cytochrome P-450 CYP1A2 Inducers
A000135,Cytochrome P-450 CYP1A2 Inducers (strength unknown)
A000136,Drugs Used in Diabetes
A000137,Hypoglycemia-Associated Agents
D007328,Insulin
A000138,"Insulin, metabolism"
D061266,"Insulin, Short-Acting"
A000139,"Insulins and Analogues for Injection, Fast-Acting"
D010187,Pancreatic Hormones
A000140,Agents causing angioedema
A000141,Blood and Blood Forming Organs
D045424,Complex Mixtures
A000142,Genito Urinary System and Sex Hormones
A000143,Gonadotropins and Antigonadotropins
D006065,"Gonadotropins, Pituitary"
A000144,Sex Hormones and Modulators of the Genital System
A000145,Cytochrome P-450 CYP1A2 Inhibitors (strength unknown)
A000146,Interferon gamma
D016215,Macrophage-Activating Factors
A000147,Myelosuppressive Agents
A000148,Alfa Interferons
A000149,Antineoplastic and Immunomodulating Agents
A000150,Cancer immunotherapy
A000151,Cytochrome P-450 CYP1A2 Inhibitors (strength unknown)
