identifier,derived-from,resource
11916,DB00001,Drugs Product Database (DPD)
46507011,DB00001,PubChem Substance
D06880,DB00001,KEGG Drug
PA450195,DB00001,PharmGKB
P01050,DB00001,UniProtKB
DAP000541,DB00001,Therapeutic Targets Database
Lepirudin,DB00001,Wikipedia
CHEMBL1201666,DB00001,ChEMBL
237057,DB00001,RxCUI
13175,DB00002,Drugs Product Database (DPD)
46507042,DB00002,PubChem Substance
D03455,DB00002,KEGG Drug
J00228,DB00002,GenBank
PA10040,DB00002,PharmGKB
DNC000788,DB00002,Therapeutic Targets Database
Cetuximab,DB00002,Wikipedia
CHEMBL1201577,DB00002,ChEMBL
318341,DB00002,RxCUI
650,DB00003,Drugs Product Database (DPD)
46507792,DB00003,PubChem Substance
M55983,DB00003,GenBank
PA10318,DB00003,PharmGKB
P24855,DB00003,UniProtKB
DAP000981,DB00003,Therapeutic Targets Database
Dornase_alfa,DB00003,Wikipedia
CHEMBL1201431,DB00003,ChEMBL
337623,DB00003,RxCUI
46506950,DB00004,PubChem Substance
V01536,DB00004,GenBank
PA164750594,DB00004,PharmGKB
P00587,DB00004,UniProtKB
DAP001098,DB00004,Therapeutic Targets Database
Denileukin_diftitox,DB00004,Wikipedia
CHEMBL1201550,DB00004,ChEMBL
214470,DB00004,RxCUI
12032,DB00005,Drugs Product Database (DPD)
46506732,DB00005,PubChem Substance
C07897,DB00005,KEGG Compound
D00742,DB00005,KEGG Drug
M32315,DB00005,GenBank
PA449515,DB00005,PharmGKB
P20333,DB00005,UniProtKB
DNC000605,DB00005,Therapeutic Targets Database
Etanercept,DB00005,Wikipedia
CHEMBL1201572,DB00005,ChEMBL
214555,DB00005,RxCUI
12945,DB00006,Drugs Product Database (DPD)
59173,DB00006,ChEBI
16129704,DB00006,PubChem Compound
46507415,DB00006,PubChem Substance
D03136,DB00006,KEGG Drug
10482069,DB00006,ChemSpider
50248103,DB00006,BindingDB
PA10032,DB00006,PharmGKB
DAP000542,DB00006,Therapeutic Targets Database
Bivalirudin,DB00006,Wikipedia
CHEMBL2103749,DB00006,ChEMBL
60819,DB00006,RxCUI
1756,DB00007,Drugs Product Database (DPD)
23683,DB00007,Drugs Product Database (DPD)
6427,DB00007,ChEBI
46507635,DB00007,PubChem Substance
C07612,DB00007,KEGG Compound
D08113,DB00007,KEGG Drug
571356,DB00007,ChemSpider
50369395,DB00007,BindingDB
PA450203,DB00007,PharmGKB
DAP000020,DB00007,Therapeutic Targets Database
Leuprorelin,DB00007,Wikipedia
CHEMBL1201199,DB00007,ChEMBL
42375,DB00007,RxCUI
13246,DB00008,Drugs Product Database (DPD)
46504860,DB00008,PubChem Substance
J00207,DB00008,GenBank
PA164749390,DB00008,PharmGKB
P01563,DB00008,UniProtKB
DAP001278,DB00008,Therapeutic Targets Database
Peginterferon_alfa-2a,DB00008,Wikipedia
CHEMBL1201560,DB00008,ChEMBL
120608,DB00008,RxCUI
7297,DB00009,Drugs Product Database (DPD)
46507035,DB00009,PubChem Substance
D02837,DB00009,KEGG Drug
L00153,DB00009,GenBank
PA164776730,DB00009,PharmGKB
P00750,DB00009,UniProtKB
DAP000203,DB00009,Therapeutic Targets Database
Alteplase,DB00009,Wikipedia
CHEMBL1201593,DB00009,ChEMBL
8410,DB00009,RxCUI
46507399,DB00010,PubChem Substance
C08192,DB00010,KEGG Compound
PA164749110,DB00010,PharmGKB
DAP001055,DB00010,Therapeutic Targets Database
Sermorelin,DB00010,Wikipedia
56188,DB00010,RxCUI
7651,DB00011,Drugs Product Database (DPD)
46506227,DB00011,PubChem Substance
PA164746538,DB00011,PharmGKB
DAP001280,DB00011,Therapeutic Targets Database
CHEMBL2108509,DB00011,ChEMBL
202912,DB00011,RxCUI
12550,DB00012,Drugs Product Database (DPD)
46504480,DB00012,PubChem Substance
X02158,DB00012,GenBank
PA164743138,DB00012,PharmGKB
P01588,DB00012,UniProtKB
DAP000800,DB00012,Therapeutic Targets Database
Darbepoetin_alfa,DB00012,Wikipedia
CHEMBL1201566,DB00012,ChEMBL
283838,DB00012,RxCUI
2012,DB00013,Drugs Product Database (DPD)
46506299,DB00013,PubChem Substance
X02419,DB00013,GenBank
PA451836,DB00013,PharmGKB
P00749,DB00013,UniProtKB
DAP001194,DB00013,Therapeutic Targets Database
Urokinase,DB00013,Wikipedia
CHEMBL1201420,DB00013,ChEMBL
11055,DB00013,RxCUI
11167,DB00014,Drugs Product Database (DPD)
5523,DB00014,ChEBI
5311128,DB00014,PubChem Compound
46507336,DB00014,PubChem Substance
D00573,DB00014,KEGG Drug
4470656,DB00014,ChemSpider
PA164747674,DB00014,PharmGKB
DAP000023,DB00014,Therapeutic Targets Database
Goserelin,DB00014,Wikipedia
CHEMBL1201247,DB00014,ChEMBL
50610,DB00014,RxCUI
11534,DB00015,Drugs Product Database (DPD)
46506092,DB00015,PubChem Substance
PA164743728,DB00015,PharmGKB
DAP001195,DB00015,Therapeutic Targets Database
Reteplase,DB00015,Wikipedia
CHEMBL2107885,DB00015,ChEMBL
76895,DB00015,RxCUI
299,DB00016,Drugs Product Database (DPD)
46508122,DB00016,PubChem Substance
PA10072,DB00016,PharmGKB
DAP000202,DB00016,Therapeutic Targets Database
Epoetin_alfa,DB00016,Wikipedia
CHEMBL1201565,DB00016,ChEMBL
105694,DB00016,RxCUI
13186,DB00017,Drugs Product Database (DPD)
46506061,DB00017,PubChem Substance
C06865,DB00017,KEGG Compound
D00249,DB00017,KEGG Drug
Y00765,DB00017,GenBank
PA448715,DB00017,PharmGKB
P01263,DB00017,UniProtKB
DAP001302,DB00017,Therapeutic Targets Database
Calcitonin,DB00017,Wikipedia
36118,DB00017,RxCUI
46508902,DB00018,PubChem Substance
PA164746228,DB00018,PharmGKB
DAP001281,DB00018,Therapeutic Targets Database
Interferon_alpha-n3,DB00018,Wikipedia
CHEMBL2109047,DB00018,ChEMBL
612937,DB00018,RxCUI
12313,DB00019,Drugs Product Database (DPD)
46505853,DB00019,PubChem Substance
D06889,DB00019,KEGG Drug
X03438,DB00019,GenBank
PA164781387,DB00019,PharmGKB
P09919,DB00019,UniProtKB
DAP000395,DB00019,Therapeutic Targets Database
Pegfilgrastim,DB00019,Wikipedia
CHEMBL1201568,DB00019,ChEMBL
338036,DB00019,RxCUI
46507000,DB00020,PubChem Substance
M13207,DB00020,GenBank
PA164748631,DB00020,PharmGKB
P04141,DB00020,UniProtKB
DAP001053,DB00020,Therapeutic Targets Database
Sargramostim,DB00020,Wikipedia
CHEMBL1201670,DB00020,ChEMBL
69634,DB00020,RxCUI
12036,DB00022,Drugs Product Database (DPD)
46506669,DB00022,PubChem Substance
PA164784024,DB00022,PharmGKB
DAP001279,DB00022,Therapeutic Targets Database
Peginterferon_alfa-2b,DB00022,Wikipedia
CHEMBL1201561,DB00022,ChEMBL
253453,DB00022,RxCUI
2433,DB00023,Drugs Product Database (DPD)
46507633,DB00023,PubChem Substance
U00096,DB00023,GenBank
PA448492,DB00023,PharmGKB
P37595,DB00023,UniProtKB
Asparaginase,DB00023,Wikipedia
CHEMBL2108989,DB00023,ChEMBL
1156,DB00023,RxCUI
12790,DB00024,Drugs Product Database (DPD)
46505696,DB00024,PubChem Substance
M16647,DB00024,GenBank
PA164746560,DB00024,PharmGKB
P01225,DB00024,UniProtKB
DAP001248,DB00024,Therapeutic Targets Database
Thyroid-stimulating_hormone,DB00024,Wikipedia
CHEMBL1201533,DB00024,ChEMBL
4952,DB00024,RxCUI
745,DB00025,Drugs Product Database (DPD)
9847,DB00025,Drugs Product Database (DPD)
12787,DB00025,Drugs Product Database (DPD)
22826,DB00025,Drugs Product Database (DPD)
46506209,DB00025,PubChem Substance
M14113,DB00025,GenBank
PA164750168,DB00025,PharmGKB
P00451,DB00025,UniProtKB
Antihemophilic_Factor,DB00025,Wikipedia
CHEMBL2108175,DB00025,ChEMBL
1300486,DB00025,RxCUI
12604,DB00026,Drugs Product Database (DPD)
46507944,DB00026,PubChem Substance
D02934,DB00026,KEGG Drug
M55646,DB00026,GenBank
PA10799,DB00026,PharmGKB
P18510,DB00026,UniProtKB
DAP000095,DB00026,Therapeutic Targets Database
Anakinra,DB00026,Wikipedia
CHEMBL1201570,DB00026,ChEMBL
72435,DB00026,RxCUI
8523,DB00027,Drugs Product Database (DPD)
45267103,DB00027,PubChem Compound
46507412,DB00027,PubChem Substance
D04369,DB00027,KEGG Drug
24623445,DB00027,ChemSpider
PA449808,DB00027,PharmGKB
DAP001327,DB00027,Therapeutic Targets Database
Gramicidin,DB00027,Wikipedia
CHEMBL557217,DB00027,ChEMBL
5011,DB00027,RxCUI
7773,DB00028,Drugs Product Database (DPD)
15161,DB00028,Drugs Product Database (DPD)
22953,DB00028,Drugs Product Database (DPD)
46508774,DB00028,PubChem Substance
J00221,DB00028,GenBank
PA164754884,DB00028,PharmGKB
P01877,DB00028,UniProtKB
1426680,DB00028,RxCUI
1199,DB00029,Drugs Product Database (DPD)
46504487,DB00029,PubChem Substance
PA164769075,DB00029,PharmGKB
DAP001197,DB00029,Therapeutic Targets Database
Anistreplase,DB00029,Wikipedia
CHEMBL2108250,DB00029,ChEMBL
40028,DB00029,RxCUI
20125,DB00030,Drugs Product Database (DPD)
7672,DB00030,Drugs Product Database (DPD)
7671,DB00030,Drugs Product Database (DPD)
7326,DB00030,Drugs Product Database (DPD)
5931,DB00030,ChEBI
46506231,DB00030,PubChem Substance
C00723,DB00030,KEGG Compound
D03230,DB00030,KEGG Drug
AY137503,DB00030,GenBank
PA164744571,DB00030,PharmGKB
Q8HXV2,DB00030,UniProtKB
DAP000802,DB00030,Therapeutic Targets Database
Insulin,DB00030,Wikipedia
253182,DB00030,RxCUI
12468,DB00031,Drugs Product Database (DPD)
46508657,DB00031,PubChem Substance
D06070,DB00031,KEGG Drug
PA164776757,DB00031,PharmGKB
DAP000204,DB00031,Therapeutic Targets Database
Tenecteplase,DB00031,Wikipedia
CHEMBL2108791,DB00031,ChEMBL
259280,DB00031,RxCUI
7369,DB00032,Drugs Product Database (DPD)
46504503,DB00032,PubChem Substance
X00264,DB00032,GenBank
PA164749406,DB00032,PharmGKB
P01229,DB00032,UniProtKB
DAP001027,DB00032,Therapeutic Targets Database
Menotropin,DB00032,Wikipedia
CHEMBL2108427,DB00032,ChEMBL
46507194,DB00033,PubChem Substance
X13274,DB00033,GenBank
PA164746386,DB00033,PharmGKB
P01579,DB00033,UniProtKB
DAP001286,DB00033,Therapeutic Targets Database
Interferon_gamma,DB00033,Wikipedia
CHEMBL1201564,DB00033,ChEMBL
5882,DB00033,RxCUI
1746,DB00034,Drugs Product Database (DPD)
46506712,DB00034,PubChem Substance
PA164779048,DB00034,PharmGKB
DAP000801,DB00034,Therapeutic Targets Database
5879,DB00034,RxCUI
2155,DB00035,Drugs Product Database (DPD)
19910,DB00035,Drugs Product Database (DPD)
20181,DB00035,Drugs Product Database (DPD)
4450,DB00035,ChEBI
C06944,DB00035,KEGG Compound
D00291,DB00035,KEGG Drug
4470602,DB00035,ChemSpider
50205308,DB00035,BindingDB
PA449237,DB00035,PharmGKB
DNC000526,DB00035,Therapeutic Targets Database
Desmopressin,DB00035,Wikipedia
CHEMBL1429,DB00035,ChEMBL
3251,DB00035,RxCUI
13301,DB00036,Drugs Product Database (DPD)
46507544,DB00036,PubChem Substance
C03378,DB00036,KEGG Compound
D00172,DB00036,KEGG Drug
M13232,DB00036,GenBank
PA164748389,DB00036,PharmGKB
P08709,DB00036,UniProtKB
Factor_VII,DB00036,Wikipedia
253149,DB00036,RxCUI
46506470,DB00038,PubChem Substance
M57765,DB00038,GenBank
PA164747991,DB00038,PharmGKB
P20809,DB00038,UniProtKB
DAP001287,DB00038,Therapeutic Targets Database
Oprelvekin,DB00038,Wikipedia
CHEMBL1201573,DB00038,ChEMBL
1311380,DB00038,RxCUI
17147,DB00039,Drugs Product Database (DPD)
46506691,DB00039,PubChem Substance
M60828,DB00039,GenBank
PA164744014,DB00039,PharmGKB
P21781,DB00039,UniProtKB
DAP001026,DB00039,Therapeutic Targets Database
Palifermin,DB00039,Wikipedia
CHEMBL1201821,DB00039,ChEMBL
196319,DB00039,RxCUI
12072,DB00040,Drugs Product Database (DPD)
11363,DB00040,Drugs Product Database (DPD)
46504732,DB00040,PubChem Substance
C01501,DB00040,KEGG Compound
D00116,DB00040,KEGG Drug
AF529185,DB00040,GenBank
PA164779052,DB00040,PharmGKB
Q8MJ25,DB00040,UniProtKB
DAP001037,DB00040,Therapeutic Targets Database
Glucagon,DB00040,Wikipedia
CHEMBL266481,DB00040,ChEMBL
261716,DB00040,RxCUI
278,DB00041,Drugs Product Database (DPD)
46508054,DB00041,PubChem Substance
M11144,DB00041,GenBank
PA448081,DB00041,PharmGKB
P60569,DB00041,UniProtKB
DAP001099,DB00041,Therapeutic Targets Database
Interleukin_2,DB00041,Wikipedia
CHEMBL1201438,DB00041,ChEMBL
70223,DB00041,RxCUI
12854,DB00042,Drugs Product Database (DPD)
46504750,DB00042,PubChem Substance
D02735,DB00042,KEGG Drug
M81186,DB00042,GenBank
PA164747061,DB00042,PharmGKB
P10844,DB00042,UniProtKB
DAP001272,DB00042,Therapeutic Targets Database
Botulinum_toxin,DB00042,Wikipedia
CHEMBL1201569,DB00042,ChEMBL
860178,DB00042,RxCUI
13365,DB00043,Drugs Product Database (DPD)
46507002,DB00043,PubChem Substance
PA164752253,DB00043,PharmGKB
P01857,DB00043,UniProtKB
DAP000387,DB00043,Therapeutic Targets Database
Omalizumab,DB00043,Wikipedia
CHEMBL1201589,DB00043,ChEMBL
302379,DB00043,RxCUI
15875,DB00044,Drugs Product Database (DPD)
7347,DB00044,Drugs Product Database (DPD)
46507624,DB00044,PubChem Substance
PA164750539,DB00044,PharmGKB
DAP001103,DB00044,Therapeutic Targets Database
Luteinizing_hormone,DB00044,Wikipedia
CHEMBL1201419,DB00044,ChEMBL
388084,DB00044,RxCUI
46504444,DB00045,PubChem Substance
X16467,DB00045,GenBank
PA164743058,DB00045,PharmGKB
P14013,DB00045,UniProtKB
DAP001334,DB00045,Therapeutic Targets Database
54214,DB00045,RxCUI
11115,DB00046,Drugs Product Database (DPD)
12028,DB00046,Drugs Product Database (DPD)
46507498,DB00046,PubChem Substance
D04477,DB00046,KEGG Drug
PA164747059,DB00046,PharmGKB
DNC000800,DB00046,Therapeutic Targets Database
Insulin_lispro,DB00046,Wikipedia
CHEMBL1201538,DB00046,ChEMBL
314684,DB00046,RxCUI
12724,DB00047,Drugs Product Database (DPD)
46507981,DB00047,PubChem Substance
D03250,DB00047,KEGG Drug
PA449992,DB00047,PharmGKB
DAP001088,DB00047,Therapeutic Targets Database
Insulin_glargine,DB00047,Wikipedia
CHEMBL1201497,DB00047,ChEMBL
274783,DB00047,RxCUI
21378,DB00048,Drugs Product Database (DPD)
2150,DB00048,Drugs Product Database (DPD)
46506485,DB00048,PubChem Substance
C00816,DB00048,KEGG Compound
PA449107,DB00048,PharmGKB
DAP000965,DB00048,Therapeutic Targets Database
Collagenase,DB00048,Wikipedia
58939,DB00048,RxCUI
13268,DB00049,Drugs Product Database (DPD)
46504490,DB00049,PubChem Substance
X61766,DB00049,GenBank
PA10176,DB00049,PharmGKB
Q00511,DB00049,UniProtKB
Rasburicase,DB00049,Wikipedia
CHEMBL1201594,DB00049,ChEMBL
283821,DB00049,RxCUI
13224,DB00050,Drugs Product Database (DPD)
59224,DB00050,ChEBI
25074887,DB00050,PubChem Compound
46505494,DB00050,PubChem Substance
D07665,DB00050,KEGG Drug
10482082,DB00050,ChemSpider
50369965,DB00050,BindingDB
PA164764506,DB00050,PharmGKB
DAP000096,DB00050,Therapeutic Targets Database
Cetrorelix,DB00050,Wikipedia
CHEMBL1200490,DB00050,ChEMBL
68147,DB00050,RxCUI
13356,DB00051,Drugs Product Database (DPD)
46504982,DB00051,PubChem Substance
D02597,DB00051,KEGG Drug
PA10004,DB00051,PharmGKB
DAP000392,DB00051,Therapeutic Targets Database
Adalimumab,DB00051,Wikipedia
CHEMBL1201580,DB00051,ChEMBL
327361,DB00051,RxCUI
7364,DB00052,Drugs Product Database (DPD)
46506010,DB00052,PubChem Substance
AF374232,DB00052,GenBank
PA451446,DB00052,PharmGKB
P58756,DB00052,UniProtKB
DAP001054,DB00052,Therapeutic Targets Database
Growth_hormone,DB00052,Wikipedia
CHEMBL1201621,DB00052,ChEMBL
314845,DB00052,RxCUI
11365,DB00053,Drugs Product Database (DPD)
46508744,DB00053,PubChem Substance
D02810,DB00053,KEGG Drug
M16328,DB00053,GenBank
PA164742934,DB00053,PharmGKB
P04062,DB00053,UniProtKB
Imiglucerase,DB00053,Wikipedia
CHEMBL1201632,DB00053,ChEMBL
84959,DB00053,RxCUI
61,DB00054,Drugs Product Database (DPD)
46505910,DB00054,PubChem Substance
D02778,DB00054,KEGG Drug
PA448006,DB00054,PharmGKB
DAP000473,DB00054,Therapeutic Targets Database
Abciximab,DB00054,Wikipedia
CHEMBL1201584,DB00054,ChEMBL
83929,DB00054,RxCUI
12084,DB00055,Drugs Product Database (DPD)
46505655,DB00055,PubChem Substance
M11228,DB00055,GenBank
PA131548935,DB00055,PharmGKB
P04070,DB00055,UniProtKB
DAP000151,DB00055,Therapeutic Targets Database
Drotrecogin_alfa,DB00055,Wikipedia
352374,DB00055,RxCUI
23390,DB00056,Drugs Product Database (DPD)
46505767,DB00056,PubChem Substance
PA164749431,DB00056,PharmGKB
DAP000390,DB00056,Therapeutic Targets Database
Gemtuzumab_ozogamicin,DB00056,Wikipedia
CHEMBL1201506,DB00056,ChEMBL
1294580,DB00056,RxCUI
46505873,DB00057,PubChem Substance
PA164745371,DB00057,PharmGKB
DAP001299,DB00057,Therapeutic Targets Database
CHEMBL1743091,DB00057,ChEMBL
7762,DB00058,Drugs Product Database (DPD)
46506364,DB00058,PubChem Substance
K01396,DB00058,GenBank
PA10308,DB00058,PharmGKB
P01009,DB00058,UniProtKB
DAP001102,DB00058,Therapeutic Targets Database
Alpha-1_antitrypsin,DB00058,Wikipedia
535,DB00058,RxCUI
11706,DB00059,Drugs Product Database (DPD)
46505366,DB00059,PubChem Substance
PA164760860,DB00059,PharmGKB
Pegaspargase,DB00059,Wikipedia
CHEMBL2108546,DB00059,ChEMBL
34132,DB00059,RxCUI
11746,DB00060,Drugs Product Database (DPD)
46504899,DB00060,PubChem Substance
V00534,DB00060,GenBank
PA450037,DB00060,PharmGKB
P01574,DB00060,UniProtKB
DAP001282,DB00060,Therapeutic Targets Database
Interferon_beta-1a,DB00060,Wikipedia
CHEMBL1201562,DB00060,ChEMBL
75917,DB00060,RxCUI
46508490,DB00061,PubChem Substance
AF280603,DB00061,GenBank
PA450831,DB00061,PharmGKB
P56658,DB00061,UniProtKB
Adenosine_deaminase,DB00061,Wikipedia
CHEMBL1201514,DB00061,ChEMBL
59768,DB00061,RxCUI
7867,DB00062,Drugs Product Database (DPD)
3275,DB00062,Drugs Product Database (DPD)
46509098,DB00062,PubChem Substance
M12523,DB00062,GenBank
PA164743293,DB00062,PharmGKB
P02768,DB00062,UniProtKB
Serum_albumin,DB00062,Wikipedia
CHEMBL1201451,DB00062,ChEMBL
828529,DB00062,RxCUI
11891,DB00063,Drugs Product Database (DPD)
46505459,DB00063,PubChem Substance
PA449483,DB00063,PharmGKB
DAP000285,DB00063,Therapeutic Targets Database
Eptifibatide,DB00063,Wikipedia
CHEMBL1174,DB00063,ChEMBL
75635,DB00063,RxCUI
12094,DB00065,Drugs Product Database (DPD)
46505602,DB00065,PubChem Substance
PA452639,DB00065,PharmGKB
DAP000107,DB00065,Therapeutic Targets Database
Infliximab,DB00065,Wikipedia
CHEMBL1201581,DB00065,ChEMBL
1790539,DB00065,RxCUI
11463,DB00066,Drugs Product Database (DPD)
11457,DB00066,Drugs Product Database (DPD)
22944,DB00066,Drugs Product Database (DPD)
7649,DB00066,Drugs Product Database (DPD)
46508818,DB00066,PubChem Substance
PA449693,DB00066,PharmGKB
DAP001028,DB00066,Therapeutic Targets Database
Follicle-stimulating_hormone,DB00066,Wikipedia
CHEMBL1201692,DB00066,ChEMBL
227518,DB00066,RxCUI
7387,DB00067,Drugs Product Database (DPD)
46505933,DB00067,PubChem Substance
C00840,DB00067,KEGG Compound
D00101,DB00067,KEGG Drug
10152658,DB00067,ChemSpider
PA451858,DB00067,PharmGKB
DAP000018,DB00067,Therapeutic Targets Database
Vasopressin,DB00067,Wikipedia
CHEMBL373742,DB00067,ChEMBL
11149,DB00067,RxCUI
172,DB00068,Drugs Product Database (DPD)
46504458,DB00068,PubChem Substance
C07901,DB00068,KEGG Compound
D00746,DB00068,KEGG Drug
PA450039,DB00068,PharmGKB
DAP001283,DB00068,Therapeutic Targets Database
Interferon_beta-1b,DB00068,Wikipedia
CHEMBL1201563,DB00068,ChEMBL
72258,DB00068,RxCUI
11856,DB00069,Drugs Product Database (DPD)
46505985,DB00069,PubChem Substance
PA164749376,DB00069,PharmGKB
DAP001284,DB00069,Therapeutic Targets Database
Interferon_alfacon-1,DB00069,Wikipedia
CHEMBL1201557,DB00069,ChEMBL
59744,DB00069,RxCUI
6039,DB00070,Drugs Product Database (DPD)
46505087,DB00070,PubChem Substance
L13781,DB00070,GenBank
PA164745713,DB00070,PharmGKB
P38567,DB00070,UniProtKB
Hyaluronidase,DB00070,Wikipedia
CHEMBL1201636,DB00070,ChEMBL
486164,DB00070,RxCUI
46508925,DB00071,PubChem Substance
PA164781053,DB00071,PharmGKB
DAP001089,DB00071,Therapeutic Targets Database
221109,DB00071,RxCUI
11905,DB00072,Drugs Product Database (DPD)
46507516,DB00072,PubChem Substance
D03257,DB00072,KEGG Drug
PA451743,DB00072,PharmGKB
DAP000391,DB00072,Therapeutic Targets Database
Trastuzumab,DB00072,Wikipedia
CHEMBL1201585,DB00072,ChEMBL
224905,DB00072,RxCUI
11982,DB00073,Drugs Product Database (DPD)
46505820,DB00073,PubChem Substance
PA451261,DB00073,PharmGKB
DAP000382,DB00073,Therapeutic Targets Database
Rituximab,DB00073,Wikipedia
CHEMBL1201576,DB00073,ChEMBL
121191,DB00073,RxCUI
12027,DB00074,Drugs Product Database (DPD)
46505169,DB00074,PubChem Substance
PA164747126,DB00074,PharmGKB
DAP000388,DB00074,Therapeutic Targets Database
Basiliximab,DB00074,Wikipedia
CHEMBL1201439,DB00074,ChEMBL
196102,DB00074,RxCUI
7680,DB00075,Drugs Product Database (DPD)
46507837,DB00075,PubChem Substance
D05092,DB00075,KEGG Drug
PA164743097,DB00075,PharmGKB
DAP001301,DB00075,Therapeutic Targets Database
Muromonab-CD3,DB00075,Wikipedia
CHEMBL1201608,DB00075,ChEMBL
42405,DB00075,RxCUI
7676,DB00076,Drugs Product Database (DPD)
46506432,DB00076,PubChem Substance
PA164769030,DB00076,PharmGKB
Digoxin_Immune_Fab,DB00076,Wikipedia
1745257,DB00076,RxCUI
12697,DB00078,Drugs Product Database (DPD)
46506112,DB00078,PubChem Substance
J00470,DB00078,GenBank
PA164781375,DB00078,PharmGKB
P01865,DB00078,UniProtKB
DAP000383,DB00078,Therapeutic Targets Database
Ibritumomab_tiuxetan,DB00078,Wikipedia
262323,DB00078,RxCUI
20161,DB00080,Drugs Product Database (DPD)
600103,DB00080,ChEBI
16134395,DB00080,PubChem Compound
46504551,DB00080,PubChem Substance
C12013,DB00080,KEGG Compound
D01080,DB00080,KEGG Drug
10200644,DB00080,ChemSpider
PA164768820,DB00080,PharmGKB
DAP001328,DB00080,Therapeutic Targets Database
Daptomycin,DB00080,Wikipedia
CHEMBL4744444,DB00080,ChEMBL
22299,DB00080,RxCUI
16096,DB00081,Drugs Product Database (DPD)
46506662,DB00081,PubChem Substance
PA164748364,DB00081,PharmGKB
DAP000384,DB00081,Therapeutic Targets Database
Tositumomab,DB00081,Wikipedia
CHEMBL1201604,DB00081,ChEMBL
263010,DB00081,RxCUI
16581,DB00082,Drugs Product Database (DPD)
46505507,DB00082,PubChem Substance
PA164749630,DB00082,PharmGKB
DAP000286,DB00082,Therapeutic Targets Database
Pegvisomant,DB00082,Wikipedia
CHEMBL1201515,DB00082,ChEMBL
278739,DB00082,RxCUI
17056,DB00083,Drugs Product Database (DPD)
21616,DB00083,Drugs Product Database (DPD)
21617,DB00083,Drugs Product Database (DPD)
22972,DB00083,Drugs Product Database (DPD)
46505347,DB00083,PubChem Substance
C07946,DB00083,KEGG Compound
D00783,DB00083,KEGG Drug
X52066,DB00083,GenBank
PA164754825,DB00083,PharmGKB
P10845,DB00083,UniProtKB
DAP001298,DB00083,Therapeutic Targets Database
1000104,DB00083,RxCUI
3173,DB00085,Drugs Product Database (DPD)
9754,DB00085,Drugs Product Database (DPD)
46504728,DB00085,PubChem Substance
D05349,DB00085,KEGG Drug
M18785,DB00085,GenBank
PA448428,DB00085,PharmGKB
P04746,DB00085,UniProtKB
Pancreatic_enzymes_(medication),DB00085,Wikipedia
CHEMBL2108074,DB00085,ChEMBL
235379,DB00085,RxCUI
5991,DB00086,Drugs Product Database (DPD)
46505625,DB00086,PubChem Substance
K02986,DB00086,GenBank
PA164754919,DB00086,PharmGKB
P00779,DB00086,UniProtKB
DAP001198,DB00086,Therapeutic Targets Database
Streptokinase,DB00086,Wikipedia
CHEMBL2108147,DB00086,ChEMBL
10106,DB00086,RxCUI
12491,DB00087,Drugs Product Database (DPD)
46507379,DB00087,PubChem Substance
PA164783958,DB00087,PharmGKB
DAP000385,DB00087,Therapeutic Targets Database
Alemtuzumab,DB00087,Wikipedia
CHEMBL1201587,DB00087,ChEMBL
117055,DB00087,RxCUI
46507500,DB00088,PubChem Substance
PA164748093,DB00088,PharmGKB
Alglucerase,DB00088,Wikipedia
CHEMBL1201633,DB00088,ChEMBL
46049,DB00088,RxCUI
20500,DB00089,Drugs Product Database (DPD)
46506263,DB00089,PubChem Substance
PA164745489,DB00089,PharmGKB
DAP001049,DB00089,Therapeutic Targets Database
Indium_(111In)_capromab_pendetide,DB00089,Wikipedia
CHEMBL2108285,DB00089,ChEMBL
136300,DB00089,RxCUI
13106,DB00090,Drugs Product Database (DPD)
46505612,DB00090,PubChem Substance
M74715,DB00090,GenBank
PA164776670,DB00090,PharmGKB
P35475,DB00090,UniProtKB
Iduronidase,DB00090,Wikipedia
CHEMBL1201595,DB00090,ChEMBL
392509,DB00090,RxCUI
11396,DB00091,Drugs Product Database (DPD)
1915,DB00091,Drugs Product Database (DPD)
13144,DB00091,Drugs Product Database (DPD)
4031,DB00091,ChEBI
5284373,DB00091,PubChem Compound
46508198,DB00091,PubChem Substance
C05086,DB00091,KEGG Compound
D00184,DB00091,KEGG Drug
4447449,DB00091,ChemSpider
50022815,DB00091,BindingDB
PA449167,DB00091,PharmGKB
DNC001177,DB00091,Therapeutic Targets Database
Ciclosporin,DB00091,Wikipedia
CHEMBL160,DB00091,ChEMBL
3008,DB00091,RxCUI
12559,DB00092,Drugs Product Database (DPD)
46505772,DB00092,PubChem Substance
PA164748040,DB00092,PharmGKB
DAP000540,DB00092,Therapeutic Targets Database
Alefacept,DB00092,Wikipedia
CHEMBL1201571,DB00092,ChEMBL
299635,DB00092,RxCUI
60564,DB00093,ChEBI
14257662,DB00093,PubChem Compound
46507522,DB00093,PubChem Substance
16736539,DB00093,ChemSpider
PA164744374,DB00093,PharmGKB
DAP000217,DB00093,Therapeutic Targets Database
Felypressin,DB00093,Wikipedia
CHEMBL3185126,DB00093,ChEMBL
4319,DB00093,RxCUI
306,DB00094,Drugs Product Database (DPD)
46507385,DB00094,PubChem Substance
PA451835,DB00094,PharmGKB
DAP001029,DB00094,Therapeutic Targets Database
Urofollitropin,DB00094,Wikipedia
CHEMBL1201520,DB00094,ChEMBL
134404,DB00094,RxCUI
13093,DB00095,Drugs Product Database (DPD)
46505252,DB00095,PubChem Substance
