drug,category
DB00019,D006397
DB00019,D016298
DB00019,A000094
DB00019,D036341
DB00019,A000095
DB00019,D046911
DB00019,A000096
DB00019,D010455
DB00019,D011108
DB00019,D011506
DB00020,D000276
DB00020,D000602
DB00020,A000097
DB00020,D001685
DB00020,D003115
DB00020,D016207
DB00020,D006023
DB00020,D016178
DB00020,D016298
DB00020,D007155
DB00020,A000098
DB00020,D036341
DB00020,A000099
DB00020,D010455
DB00020,D011506
DB00022,D000276
DB00022,D000438
DB00022,A000100
DB00022,D000602
DB00022,D000890
DB00022,A000101
DB00022,D000998
DB00022,D001685
DB00022,A000102
DB00022,D020313
DB00022,D065609
DB00022,A000103
DB00022,D065698
DB00022,A000104
DB00022,D065690
DB00022,A000105
DB00022,D065693
DB00022,D065607
DB00022,D016207
DB00022,D004337
DB00022,D005026
DB00022,D006018
DB00022,D006526
DB00022,D007166
DB00022,D007167
DB00022,D036341
DB00022,A000106
DB00022,D007370
DB00022,D016898
DB00022,D007372
DB00022,D046911
DB00022,A000107
DB00022,A000108
DB00022,D010455
DB00022,D011108
DB00022,D011506
DB00022,A000109
DB00023,D000581
DB00023,D000970
DB00023,A000110
DB00023,D001215
DB00023,A000111
DB00023,D004798
DB00023,D045762
DB00023,D006867
DB00023,A000112
DB00023,A000113
DB00024,A000114
DB00024,A000115
DB00024,D006728
DB00024,D006730
DB00024,D036361
DB00024,A000116
DB00024,D010907
DB00024,D010908
DB00024,A000117
DB00024,D013972
DB00025,D000602
DB00025,D001685
DB00025,A000118
DB00025,D001779
DB00025,D001798
DB00025,D002241
DB00025,D004187
DB00025,D006467
DB00025,D006490
DB00025,A000119
DB00025,A000120
DB00025,D009844
DB00025,D011134
DB00025,D011498
DB00025,D011506
DB00026,A000121
DB00026,D000602
DB00026,A000122
DB00026,D018501
DB00026,D001685
DB00026,A000123
DB00026,D016207
DB00026,A000124
DB00026,D007166
DB00026,D007167
DB00026,D036341
DB00026,D000088902
DB00026,A000125
DB00026,D010455
DB00026,D011506
DB00027,D000602
DB00027,D000900
DB00027,D000890
DB00027,D000891
DB00027,D008565
DB00027,A000126
DB00027,A000127
DB00027,D010455
DB00027,D010456
DB00027,D052899
DB00027,D011506
DB00027,A000128
DB00028,D000602
DB00028,D000906
DB00028,A000129
DB00028,D001798
DB00028,D005916
DB00028,A000130
DB00028,D007074
DB00028,D007132
DB00028,D007136
DB00028,D007155
DB00028,D007162
DB00028,A000131
DB00028,D011506
DB00028,D044967
DB00028,D012712
DB00029,A000132
DB00029,D000602
DB00029,D000925
DB00029,A000133
DB00029,D001798
DB00029,D002317
DB00029,D010450
DB00029,D004798
DB00029,D045762
DB00029,D050299
DB00029,D005343
DB00029,D006401
DB00029,D006867
DB00029,D010447
DB00029,D010960
DB00029,D011506
DB00029,D012697
DB00029,D057057
DB00030,A000134
DB00030,D000602
DB00030,D007004
DB00030,D065694
DB00030,A000135
DB00030,D065693
DB00030,A000136
DB00030,D006728
DB00030,D006730
DB00030,A000137
DB00030,D007328
DB00030,A000138
DB00030,D061266
DB00030,A000139
DB00030,D010187
DB00030,D036361
DB00030,D010455
DB00031,A000140
DB00031,D000602
DB00031,D000925
DB00031,D001685
DB00031,A000141
DB00031,D001798
DB00031,D002317
DB00031,D010450
DB00031,D004798
DB00031,D045762
DB00031,D050299
DB00031,D005343
DB00031,D006401
DB00031,D006867
DB00031,D010447
DB00031,D010960
DB00031,D011506
DB00031,D012697
DB00031,D057057
DB00031,D010959
DB00032,D000602
DB00032,D001688
DB00032,D045424
DB00032,D005299
DB00032,D005300
DB00032,A000142
DB00032,D006062
DB00032,A000143
DB00032,D006065
DB00032,D006728
DB00032,D006730
DB00032,D036361
DB00032,D010455
DB00032,D010907
DB00032,D010908
DB00032,D012102
DB00032,A000144
DB00033,D000602
DB00033,D001685
DB00033,D065609
DB00033,A000145
DB00033,D065607
DB00033,D016207
DB00033,D007166
DB00033,D036341
DB00033,A000146
DB00033,D007372
DB00033,D008222
DB00033,D016215
DB00033,A000147
DB00033,D010455
DB00033,D011506
DB00034,D000276
DB00034,A000148
DB00034,D000602
DB00034,D000890
DB00034,D000970
DB00034,A000149
DB00034,D000998
DB00034,D001685
DB00034,A000150
DB00034,D065609
DB00034,A000151
DB00034,D065607
DB00034,D016207
DB00034,D007166
DB00034,D007167
DB00034,D036341
DB00034,A000152
DB00034,D007370
DB00034,D016898
DB00034,D007372
DB00034,A000153
DB00034,D010455
DB00034,D011506
DB00035,A000154
DB00035,D000602
DB00035,D050034
DB00035,D001127
DB00035,D002317
DB00035,D003029
DB00035,A000155
DB00035,A000156
DB00035,D006401
DB00035,D006490
DB00035,D006728
DB00035,D006730
DB00035,A000157
DB00035,A000158
DB00035,D045283
DB00035,D009419
DB00035,D009479
DB00035,D009842
DB00035,D036361
DB00035,D010455
DB00035,A000159
DB00035,A000160
DB00035,D010907
DB00035,D010909
DB00035,A000161
DB00035,D011506
DB00035,A000162
DB00035,A000163
DB00035,A000164
DB00035,D014667
DB00036,D000602
DB00036,D001685
DB00036,A000165
DB00036,D001779
DB00036,D001798
DB00036,D010450
DB00036,D004798
DB00036,D045762
DB00036,D005167
DB00036,A000166
DB00036,D006490
DB00036,D006867
DB00036,A000167
DB00036,A000168
DB00036,D010447
DB00036,D011506
DB00036,D012697
DB00036,D057057
DB00038,D000276
DB00038,D000602
DB00038,A000169
DB00038,D001685
DB00038,D016207
DB00038,D036341
DB00038,D007378
DB00038,A000170
DB00038,D010455
DB00038,D011506
DB00039,D000602
DB00039,D001685
DB00039,A000171
DB00039,D005346
DB00039,A000172
DB00039,D036341
DB00039,A000173
DB00039,D010455
DB00039,D011506
DB00040,D000602
DB00040,A000174
DB00040,A000175
DB00040,A000176
DB00040,A000177
DB00040,D005765
DB00040,D005768
DB00040,A000178
DB00040,A000179
DB00040,A000180
DB00040,A000181
DB00040,D006728
DB00040,D006730
DB00040,A000182
DB00040,A000183
DB00040,D010187
DB00040,D036361
DB00040,D010455
DB00040,D052336
DB00040,D011498
DB00040,D011506
DB00040,A000184
DB00041,D000276
DB00041,D000602
DB00041,D019380
DB00041,D000890
DB00041,D000970
DB00041,A000185
DB00041,D001685
DB00041,A000186
DB00041,D065691
DB00041,A000187
DB00041,D065692
DB00041,A000188
DB00041,D065607
DB00041,D016207
DB00041,A000189
DB00041,A000190
DB00041,D007166
DB00041,D007167
DB00041,A000191
DB00041,A000192
DB00041,D036341
DB00041,D007378
DB00041,A000193
DB00041,D008222
DB00041,A000194
DB00041,A000195
DB00041,D010455
DB00041,D011506
DB00042,D065087
DB00042,A000196
DB00042,D000602
DB00042,D000664
DB00042,D018726
DB00042,D001426
DB00042,D001427
DB00042,D001685
DB00042,D001905
DB00042,D002491
DB00042,D002492
DB00042,D018678
DB00042,D045424
DB00042,D010450
DB00042,D004798
DB00042,D045762
DB00042,D005730
DB00042,D006867
DB00042,D049990
DB00042,D008666
DB00042,D045726
DB00042,A000197
DB00042,A000198
DB00042,A000199
DB00042,D009498
DB00042,D018377
DB00042,A000200
DB00042,D010447
DB00042,D011506
DB00042,D014118
DB00042,D014688
DB00043,A000201
DB00043,D000602
DB00043,D018926
DB00043,D018927
DB00043,A000202
DB00043,D000906
DB00043,D000911
DB00043,D061067
DB00043,D001798
DB00043,A000203
DB00043,D005916
DB00043,A000204
DB00043,D007136
DB00043,D007162
DB00043,D011506
DB00043,A000205
DB00043,D019141
DB00043,D012712
DB00044,A000206
DB00044,D006062
DB00044,A000207
DB00044,A000208
DB00046,A000209
DB00046,D000602
DB00046,D007004
DB00046,D065694
DB00046,A000210
DB00046,D065693
DB00046,A000211
DB00046,D006728
DB00046,D006730
DB00046,A000212
DB00046,D007328
DB00046,A000213
DB00046,D061266
DB00046,A000214
DB00046,D010187
DB00046,D036361
DB00046,D010455
DB00047,A000215
DB00047,D000602
DB00047,D000963
DB00047,D001688
DB00047,D007004
DB00047,D045424
DB00047,D065694
DB00047,A000216
DB00047,D065693
DB00047,A000217
DB00047,D006728
DB00047,D006730
DB00047,A000218
DB00047,D000960
DB00047,D007328
DB00047,A000219
DB00047,D049528
DB00047,D057847
DB00047,D010187
DB00047,D036361
DB00047,D010455
DB00048,A000220
DB00048,D017364
DB00048,D003879
DB00048,D010450
DB00048,D004798
DB00048,D045762
DB00048,D006867
DB00048,D008666
DB00048,D045726
DB00048,A000221
DB00048,A000222
DB00048,A000223
DB00048,D010447
DB00048,A000224
DB00049,D006074
DB00049,A000225
DB00049,D004798
DB00049,D045762
DB00049,A000226
DB00049,A000227
DB00049,D010088
DB00049,D011994
DB00049,A000228
DB00050,D000602
DB00050,A000229
DB00050,A000230
DB00050,D005299
DB00050,D005300
DB00050,A000231
DB00050,A000232
DB00050,D006727
DB00050,D006728
DB00050,D006730
DB00050,D007028
DB00050,D009419
DB00050,D009479
DB00050,D009842
DB00050,D036361
DB00050,D010455
DB00050,A000233
DB00050,D010906
DB00050,D011506
DB00050,D012102
DB00050,A000234
DB00051,A000235
DB00051,D000602
DB00051,D000893
DB00051,D000906
DB00051,D000911
DB00051,D061067
DB00051,A000236
DB00051,D018501
DB00051,D001688
DB00051,A000237
DB00051,D001798
DB00051,A000238
DB00051,D005916
DB00051,D007136
DB00051,D007162
DB00051,D007166
DB00051,A000239
DB00051,D011506
DB00051,D012712
DB00051,A000240
DB00051,D000079424
DB00051,A000241
DB00052,A000242
DB00052,D000602
DB00052,A000243
DB00052,D065694
DB00052,A000244
DB00052,D065689
DB00052,A000245
DB00052,A000246
DB00052,D065693
DB00052,D065607
DB00052,D013006
DB00052,A000247
DB00052,D006728
DB00052,D006730
DB00052,A000248
DB00052,A000249
DB00052,D036361
DB00052,D010455
DB00052,A000250
DB00052,A000251
DB00052,D010907
DB00052,D010908
DB00052,A000252
DB00052,A000253
DB00052,A000254
DB00052,A000255
DB00053,A000256
DB00053,D056947
DB00053,D004798
DB00053,D045762
DB00053,D005776
DB00053,D005959
DB00053,D006026
DB00053,D006867
DB00053,A000257
DB00054,D000602
DB00054,D000906
DB00054,D000911
DB00054,D061067
DB00054,D000925
DB00054,D010975
DB00054,A000258
DB00054,D001798
DB00054,D005916
DB00054,A000259
DB00054,D006401
DB00054,D007140
DB00054,D007128
DB00054,D007136
DB00054,D007162
DB00054,A000260
DB00054,D010446
DB00054,D010455
DB00054,A000261
DB00054,D011506
DB00054,D012712
DB00055,D000602
DB00055,D000890
DB00055,D000925
DB00055,D001685
DB00055,A000262
DB00055,D019774
DB00055,D001798
DB00055,D004792
