drug,reference
DB00327,A4606
DB00327,A4607
DB00327,A10389
DB00327,A5974
DB00327,A10390
DB00327,A10391
DB00327,A10392
DB00327,A9
DB00327,A1713
DB00327,A1715
DB00327,A10393
DB00328,A10394
DB00328,A10395
DB00328,A10396
DB00328,A10397
DB00328,A10398
DB00328,A5120
DB00328,T5
DB00328,A4608
DB00328,A4609
DB00328,A4610
DB00328,A4611
DB00328,A4612
DB00328,A15299
DB00328,A15305
DB00328,A15306
DB00328,A15300
DB00328,A15301
DB00328,A15302
DB00328,A15303
DB00328,A12882
DB00328,A247540
DB00328,A234429
DB00328,A234434
DB00328,A248080
DB00328,A248085
DB00328,A248090
DB00328,A248095
DB00330,A10399
DB00330,A10401
DB00330,A10402
DB00330,A4616
DB00330,A228768
DB00330,A4613
DB00330,A4614
DB00330,A4615
DB00330,A10400
DB00331,A176173
DB00331,A176176
DB00331,A4617
DB00331,A4618
DB00331,A4619
DB00331,A4620
DB00331,A4621
DB00331,A4622
DB00331,A4623
DB00331,A4624
DB00331,A36555
DB00331,A176189
DB00332,A4625
DB00332,A176939
DB00332,A176945
DB00333,A1713
DB00333,A1715
DB00333,A10403
DB00333,A10404
DB00333,A10405
DB00333,A497
DB00333,A4626
DB00333,A185225
DB00333,A247415
DB00333,F4685
DB00333,A15392
DB00333,A185216
DB00333,A185219
DB00333,A18201
DB00334,A10406
DB00334,A10407
DB00334,A10408
DB00334,A6536
DB00334,A10409
DB00334,A9
DB00334,A5028
DB00334,A4393
DB00334,A4627
DB00334,A177068
DB00334,A5027
DB00334,A6753
DB00334,A10414
DB00334,A10415
DB00334,A10416
DB00334,A10410
DB00334,A10417
DB00334,A10418
DB00334,A10419
DB00334,A10323
DB00334,A3986
DB00334,A10411
DB00334,A10412
DB00334,A10413
DB00334,A18165
DB00334,A4064
DB00334,T1
DB00334,A18248
DB00335,A4424
DB00335,A4628
DB00335,A4352
DB00335,A4629
DB00335,A9
DB00335,A16842
DB00336,A10420
DB00337,A14154
DB00338,A4631
DB00338,A4632
DB00338,A175183
DB00338,A175186
DB00338,A175189
DB00338,A175192
DB00338,F3712
DB00338,A20286
DB00339,A15236
DB00339,A514
DB00339,A513
DB00339,A15237
DB00340,A202985
DB00340,A202988
DB00340,A202991
DB00340,A202994
DB00341,A4633
DB00341,A4634
DB00341,A4635
DB00341,A4636
DB00341,A4637
DB00341,A175051
DB00341,A175054
DB00341,F3646
DB00342,A9
DB00342,A4638
DB00342,A4639
DB00342,A4640
DB00342,A4641
DB00342,A4642
DB00342,A5721
DB00342,A13586
DB00342,A13587
DB00343,A178492
DB00343,A4643
DB00343,A4644
DB00344,A1713
DB00344,A1715
DB00344,A4334
DB00344,A4645
DB00344,A10421
DB00344,A10422
DB00344,A10423
DB00344,A10424
DB00344,A10425
DB00346,A516
DB00346,A4648
DB00346,L9251
DB00346,A4646
DB00346,A4647
DB00346,A518
DB00346,A4649
DB00346,A4650
DB00346,A4651
DB00346,A4652
DB00346,A519
DB00346,A520
DB00347,A1713
DB00347,A1715
DB00347,A4653
DB00347,A4654
DB00347,A9
DB00348,A9
DB00348,A4655
DB00348,A4656
DB00348,A4657
DB00348,A4658
DB00348,A4659
DB00349,A5414
DB00349,A5415
DB00349,A198957
DB00349,A198975
DB00350,A1713
DB00350,A1715
DB00350,A4660
DB00350,A4661
DB00350,A4662
DB00350,A4663
DB00350,A4664
DB00350,A20274
DB00350,A11822
DB00350,A11823
DB00350,A11824
DB00351,A4665
DB00351,A4666
DB00351,A4667
DB00351,A4668
DB00351,A532
DB00351,A4669
DB00351,A4670
DB00351,A4671
DB00351,A9
DB00351,A15724
DB00351,A15725
DB00351,A15726
DB00352,A6612
DB00352,A6613
DB00352,A6614
DB00352,A6615
DB00353,A1713
DB00353,A1715
DB00353,A4672
DB00353,A4673
DB00353,A9
DB00353,A11906
DB00354,A9
DB00354,L13718
DB00355,A1713
DB00355,A1715
DB00355,A4674
DB00355,A4675
DB00355,A4676
DB00355,A12871
DB00355,A12872
DB00355,A12873
DB00355,A92005
DB00356,A534
DB00356,A4677
DB00356,A4678
DB00357,A15759
DB00357,A15760
DB00357,A9
DB00357,A1713
DB00357,A1715
DB00357,A13040
DB00357,A13041
DB00357,A13042
DB00357,A13043
DB00358,A11358
DB00358,A226953
DB00358,A172000
DB00358,A203489
DB00358,A15758
DB00359,A15755
DB00359,A15756
DB00359,A15757
DB00360,A4679
DB00360,A4680
DB00360,A4681
DB00360,A4682
DB00360,A4683
DB00360,A10426
DB00360,A10427
DB00360,A10428
DB00360,A10429
DB00360,A10430
DB00360,A10431
DB00360,A10432
DB00360,A10433
DB00360,A10434
DB00360,A10435
DB00360,A10436
DB00360,A9
DB00360,A10437
DB00360,A10438
DB00360,A10439
DB00360,A10440
DB00360,A10441
DB00361,A1713
DB00361,A1715
DB00361,A4684
DB00361,A4685
DB00361,A4686
DB00362,A784
DB00362,A787
DB00362,A788
DB00362,A16924
DB00362,A16925
DB00363,A10443
DB00363,A6753
DB00363,A10444
DB00363,A10445
DB00363,A10446
DB00363,A9
DB00363,A6534
DB00363,A10406
DB00363,A10450
DB00363,A10451
DB00363,A10452
DB00363,A5029
DB00363,A4393
DB00363,A4687
DB00363,A4688
DB00363,A4689
DB00363,A4690
DB00363,A4691
DB00363,A11825
DB00363,A11826
DB00363,A10327
DB00363,A11827
DB00363,A11828
DB00363,A11829
DB00363,A11830
DB00363,A10442
DB00363,A10447
DB00363,A10448
DB00363,A10449
DB00363,A20166
DB00364,A16734
DB00364,A16735
DB00364,A16736
DB00364,L8114
DB00364,A16738
DB00364,A16737
DB00364,A16740
DB00364,A16741
DB00364,A16739
DB00364,A11831
DB00364,A177685
DB00364,L6109
DB00365,A1713
DB00365,A1715
DB00365,A4692
DB00365,A4693
DB00365,A4694
DB00365,A10453
DB00365,A10454
DB00365,A10455
DB00366,A1713
DB00366,A1715
DB00366,A9
DB00366,A19901
DB00366,A203561
DB00367,A3404
DB00367,A4696
DB00367,A3405
DB00367,A4697
DB00367,T659
DB00367,A15418
DB00367,A182063
DB00367,A10456
DB00367,A10459
DB00367,A182066
DB00367,A182072
DB00367,A182075
DB00367,A10993
DB00367,A17180
DB00367,A4545
DB00367,A19867
DB00367,A15417
DB00367,A182078
DB00367,A182081
DB00367,A10375
DB00367,L7820
DB00368,A1713
DB00368,A1715
DB00368,A13044
DB00368,A13045
DB00368,A13046
DB00368,A13047
DB00368,A13048
DB00368,A13049
DB00368,A13050
DB00368,A13051
DB00368,A13052
DB00368,A13053
DB00368,A13054
DB00368,A13055
DB00368,A13056
DB00368,A13057
DB00368,A13058
DB00368,A13059
DB00368,A13060
DB00368,A13061
DB00368,A13062
DB00368,A13063
DB00368,A13064
DB00368,A9
DB00368,A13065
DB00368,A13066
DB00368,A13067
DB00368,A13068
DB00368,A13069
DB00368,A13070
DB00368,A13071
DB00368,A13072
DB00368,A4698
DB00368,A4699
DB00368,A4700
DB00368,A18272
DB00369,A1713
DB00369,A1715
DB00369,A4701
DB00369,A4702
DB00369,A4703
DB00369,A4704
DB00370,A4708
DB00370,A177844
DB00370,A177847
DB00370,F4594
DB00370,A177850
DB00370,A177853
DB00370,A177856
DB00370,A10465
DB00370,A10462
DB00370,A4709
DB00370,A10461
DB00370,A177862
DB00370,A177865
DB00370,A177892
DB00370,A10467
DB00370,A10468
DB00370,A10469
DB00370,A10470
DB00370,A10471
DB00370,A13073
DB00370,A18300
DB00370,A177868
DB00370,A177883
DB00370,A177886
DB00370,A177889
DB00371,L190
DB00371,A13074
DB00371,A13075
DB00371,A9
DB00372,A1713
DB00372,A1715
DB00372,A10472
DB00373,A4710
DB00373,A4711
DB00373,A4712
DB00373,A4713
DB00373,A4714
DB00373,L6724
DB00373,A10473
DB00373,A10474
DB00373,A10475
DB00373,A10476
DB00373,A10477
DB00373,A1991
DB00374,A15776
DB00374,A15777
DB00374,A11051
DB00374,A9
DB00374,A248770
DB00374,A248735
DB00374,A11832
DB00374,A193782
DB00375,A16949
DB00375,A16950
DB00375,A16951
DB00376,A1713
DB00376,A1715
DB00376,A4715
DB00376,A4716
DB00376,A4717
DB00376,A4718
DB00376,A4719
DB00376,A9
DB00376,A15749
DB00377,A4720
DB00377,A9
DB00377,A4721
DB00377,A563
DB00377,A4722
DB00377,A562
DB00377,A561
DB00377,A564
DB00377,A4723
DB00377,A4724
DB00377,A565
DB00377,A566
DB00377,A567
DB00378,A4725
DB00378,A4726
DB00378,A4727
DB00378,A4728
DB00378,A4729
DB00378,A9
DB00379,A4730
DB00379,A4731
DB00379,A4732
DB00379,A4733
DB00379,A4734
DB00379,A4469
DB00379,A9
DB00379,A17152
DB00380,A4735
DB00380,A4736
DB00380,A4737
DB00380,A4738
DB00380,A4739
DB00380,A9
DB00380,A568
DB00380,A570
DB00380,A4740
DB00380,A1713
DB00380,A1715
DB00380,A1991
DB00381,A175408
DB00381,A175411
DB00381,A175393
DB00381,A175396
DB00381,A175399
DB00381,A175402
DB00381,A15324
DB00381,A6133
DB00381,A15325
DB00381,A15326
DB00381,A15327
DB00381,A15328
DB00381,A4741
DB00381,A4742
DB00381,A4743
DB00381,A18210
DB00381,F3781
DB00381,A175390
DB00382,A4747
DB00382,A4751
DB00382,A4753
DB00382,A4754
DB00382,A4744
DB00382,A4745
DB00382,A4746
DB00382,A4748
DB00382,A9
DB00382,A4749
DB00382,A4750
DB00382,A4752
DB00382,A19873
DB00383,A1713
DB00383,A1715
DB00383,A4755
DB00383,A4756
DB00384,A1713
DB00384,A1715
DB00384,A690
DB00384,A13076
DB00384,A13077
DB00384,A9
DB00385,A15748
DB00385,A4757
DB00385,A9
DB00387,A4762
DB00387,A4755
DB00387,A1713
DB00387,A1715
DB00387,A4760
DB00387,A4761
DB00387,A10478
DB00388,A4763
DB00388,A4764
DB00388,T5
DB00388,L9416
DB00388,L9413
DB00388,L9410
DB00388,A9
DB00389,A9
DB00389,A4765
DB00389,A4766
DB00389,A4767
DB00389,A4768
DB00389,A4769
DB00389,A4770
DB00389,A4771
DB00390,A4772
DB00390,A4773
DB00390,A4774
DB00390,A4775
DB00390,A4776
DB00390,T607
DB00391,A4777
DB00391,A4778
DB00391,A9
DB00391,A15739
DB00391,A15740
DB00391,A20066
DB00391,A229588
DB00392,A1715
DB00392,A10479
DB00392,A10480
DB00392,A9
DB00392,A1713
DB00392,A4779
DB00392,A4780
DB00393,A9
DB00393,A15347
DB00393,A15341
DB00393,A15342
DB00393,A586
DB00393,A15343
DB00393,A15344
DB00393,T5
DB00393,A15339
DB00393,A15345
DB00393,A15335
DB00393,A17152
DB00394,A16694
DB00394,A16608
DB00394,A16695
DB00394,A179890
DB00395,A13075
DB00395,A176062
DB00395,A176086
DB00395,A176089
DB00396,A4782
DB00396,A4783
DB00396,A4785
DB00396,A4786
DB00396,A4787
DB00396,A175651
DB00396,A17164
DB00396,A175687
DB00396,A175690
DB00396,A175693
DB00396,A10482
DB00396,A10484
DB00396,A175675
DB00396,A175681
DB00396,A175684
DB00396,A13502
DB00396,A175696
DB00396,A175699
DB00396,A18256
DB00396,A175729
DB00396,A20020
DB00396,A175702
DB00396,A175705
DB00396,A175708
DB00396,A20075
DB00396,A175714
DB00396,A175735
DB00396,A175738
DB00396,A175741
DB00396,A175744
DB00396,A20240
DB00396,A175753
DB00396,A175756
DB00396,A175678
DB00397,A15557
DB00397,A15558
DB00397,A4789
DB00397,A10486
DB00398,A4790
DB00398,A4791
DB00398,A4792
DB00398,A4793
DB00398,A4794
DB00398,A9
DB00398,A10489
DB00398,A10490
DB00398,A10491
DB00398,A10492
DB00398,A10493
DB00398,A10494
DB00398,A10495
DB00398,A10496
DB00398,A10497
DB00398,A10498
DB00398,A10504
DB00398,A10505
DB00398,A10506
DB00398,A10507
DB00398,A10487
DB00398,A10488
DB00398,A10499
DB00398,A10500
DB00398,A10501
DB00398,A10502
DB00398,A10503
DB00398,A18088
DB00398,A18089
DB00398,A18090
DB00399,A4796
DB00399,A15363
DB00399,A11350
DB00399,A203111
DB00399,A4477
DB00399,A4795
DB00399,A9
DB00400,A1713
DB00400,A1715
DB00400,A4797
DB00400,A4798
DB00400,A4799
DB00400,A16830
DB00400,A16831
DB00401,A9
DB00401,A15348
DB00401,A13991
DB00401,A15349
DB00401,T5
DB00401,A15339
DB00401,A15345
DB00402,A15625
DB00402,A15626
DB00402,A179767
DB00402,A179770
DB00402,A179788
DB00402,L191
DB00403,A4802
DB00403,A4803
DB00403,A4804
DB00403,A4805
DB00403,A4806
DB00403,A4807
DB00404,A5415
DB00404,A18125
DB00404,A198975
DB00404,A198957
DB00405,A4808
DB00405,A4809
DB00405,A4810
DB00405,A4811
DB00405,A4812
DB00405,A9
DB00406,A1713
DB00406,A1715
DB00406,A6616
DB00406,A6617
DB00407,A10508
DB00407,A15620
DB00407,A15621
DB00407,A1713
DB00407,A1715
DB00407,A9
DB00408,A15559
DB00408,A13561
DB00408,A13562
DB00408,A13563
DB00408,A11188
DB00408,A12820
DB00408,A13564
DB00408,A9
DB00408,A10971
DB00408,L209
DB00409,A4962
DB00409,A13564
DB00409,A9
DB00409,A215417
DB00409,A15616
DB00409,A15619
DB00409,A15617
DB00409,A15618
DB00410,A11253
DB00410,A11254
DB00410,A11255
DB00410,A11256
DB00410,A11257
DB00410,A11258
DB00410,A11259
DB00410,A11260
DB00411,A4813
DB00411,A10509
DB00411,A5161
DB00411,A10510
DB00411,A10511
DB00411,A10512
DB00411,A1713
DB00411,A1715
DB00411,A10513
DB00411,A9
DB00411,A20142
DB00411,A20287
DB00412,A4814
DB00412,A4815
DB00412,A4816
DB00412,A4817
DB00412,A4818
DB00412,A9
DB00412,A15364
DB00412,A19851
DB00412,A19957
DB00412,A20201
DB00413,A176873
DB00413,A176909
DB00413,A176912
DB00413,A176915
DB00413,A618
DB00413,A176927
DB00413,A6309
DB00413,A2080
DB00413,A15316
DB00413,A176924
DB00413,A176921
DB00413,L5885
DB00414,A202127
DB00414,A202130
DB00414,A202133
DB00415,A16688
DB00415,A7385
DB00415,A16689
DB00415,A16239
DB00415,A18355
DB00415,A18356
DB00416,A1713
DB00416,A1715
DB00416,A4819
DB00416,A4820
DB00416,A9
DB00417,A16817
DB00417,A199188
DB00417,A198903
DB00417,A1991
DB00417,A18341
DB00418,A4384
DB00418,A4382
DB00418,A4381
DB00418,A4383
DB00418,A4821
DB00418,A4822
DB00418,A4823
DB00418,A9
DB00418,A1713
DB00418,A1715
DB00418,A16784
DB00418,A18264
DB00419,A624
DB00419,A622
DB00419,A4824
DB00419,A4825
DB00419,A4826
DB00419,A625
DB00419,A4827
DB00419,A626
DB00419,A4828
DB00419,A9
DB00420,A198909
DB00420,A198936
DB00420,A10514
DB00420,A10515
DB00420,A202970
DB00420,A10516
DB00421,A11833
DB00421,A11834
DB00421,A11835
DB00421,A11836
DB00421,A5444
DB00421,A9
DB00421,A11837
DB00421,A11838
DB00421,A17181
DB00421,A18226
DB00421,A16886
DB00421,A18227
DB00421,A178138
DB00421,T17
DB00421,A18228
DB00421,A18229
DB00421,A18230
DB00421,A18231
DB00421,A19965
DB00422,A4829
DB00422,A4830
DB00422,A4831
DB00422,A4832
DB00422,A4833
DB00422,A9
DB00422,A4334
DB00422,A4834
DB00422,A4835
DB00422,A632
DB00422,A177541
DB00422,A177562
DB00422,A10517
DB00422,A10518
DB00422,A10519
DB00422,A10520
DB00422,A10521
DB00423,A6151
DB00424,A1713
DB00424,A1715
DB00424,A4836
DB00424,A10522
DB00424,A228428
DB00425,A10523
DB00425,A10524
DB00425,A10525
DB00425,A175561
DB00425,A173896
DB00425,A175567
DB00425,A20281
DB00425,A175564
DB00427,A4838
DB00427,A4839
DB00427,A4840
DB00427,A4841
DB00427,A4842
DB00427,A4843
DB00427,A642
DB00427,A643
DB00427,A644
DB00427,A9
DB00428,A17874
DB00428,A6618
DB00428,A647
DB00428,A648
DB00428,A20088
DB00429,A1715
DB00429,A4844
DB00429,A4845
DB00429,A4846
DB00430,A16719
DB00430,A16494
DB00430,A16720
DB00430,A15374
DB00431,A1713
DB00431,A1715
DB00431,A4847
DB00431,A4848
DB00431,A4849
DB00431,A4850
DB00431,A4851
DB00431,A4852
DB00431,A1991
DB00431,A4853
DB00431,A4854
DB00431,A19838
DB00431,A19839
DB00431,A19856
DB00431,A19882
DB00431,A19870
DB00431,A19965
DB00432,A13452
DB00432,A13453
DB00432,A13454
DB00432,A13455
DB00432,A13456
DB00432,A13457
DB00432,A13460
DB00432,A659
DB00432,A660
DB00432,A661
DB00432,A13461
DB00432,A9
DB00432,A13451
DB00432,A13458
DB00432,A13459
DB00433,A9
DB00433,A4855
DB00433,A4856
DB00433,A4857
DB00433,A4858
DB00433,A4859
DB00433,A4860
DB00433,A179173
DB00434,A9
DB00434,A644
DB00434,A4862
DB00434,A4863
DB00434,A4865
DB00434,A231714
DB00434,A15572
DB00434,A20096
DB00435,A15386
DB00435,A15387
DB00435,A19812
DB00435,A20014
DB00435,A247610
DB00436,A9
DB00436,A4866
DB00436,A4867
DB00436,A10526
DB00436,A203450
DB00436,A5793
DB00436,A203471
DB00437,A9
DB00437,A666
DB00437,A13554
DB00437,A668
DB00437,A13555
DB00437,A13556
DB00437,A13557
DB00437,A13558
DB00437,A13559
DB00437,A667
DB00437,A664
DB00437,F3982
DB00438,A16721
DB00438,A232935
DB00438,A232940
DB00438,A232945
DB00438,A232950
DB00438,A92005
DB00439,A4868
DB00439,A4869
DB00439,A4870
DB00439,A4871
DB00439,A4872
DB00439,A9
DB00440,A11840
DB00440,A11842
DB00440,A11843
DB00440,A11844
DB00440,L11449
DB00441,A16491
DB00441,A16492
DB00441,A16493
DB00441,A4877
DB00441,A4878
DB00441,A4879
DB00441,A4880
DB00441,A4881
DB00441,A4882
DB00441,A10531
DB00441,A5098
DB00441,A5327
DB00441,A10532
DB00441,A10533
DB00441,A9
DB00441,A10534
DB00441,A10527
DB00441,A10528
DB00441,A10529
DB00441,A10530
DB00442,A15447
DB00442,A15448
DB00443,A4883
DB00443,A4884
DB00443,A4885
DB00444,A4886
DB00444,A4887
DB00444,A4888
DB00444,A4889
DB00444,A4890
DB00444,A9
DB00445,A15573
DB00445,A15574
DB00445,A15575
DB00445,A10535
DB00445,A10536
DB00445,A10537
DB00446,A12892
DB00446,A16752
DB00446,A16753
DB00446,A12881
DB00446,A11845
DB00446,A11846
DB00447,A5714
DB00447,A4891
DB00447,A1713
DB00447,A1715
DB00448,A4892
DB00448,A4893
DB00448,A9
DB00448,A20123
DB00449,A5378
DB00449,A4764
DB00449,A199062
DB00449,A9
DB00449,A10755
DB00449,A10757
DB00449,A10758
DB00449,A15446
DB00450,A15445
DB00450,A4894
DB00450,A4856
DB00450,A4895
DB00450,A4896
DB00451,A179950
DB00451,A179956
DB00451,A1715
DB00451,A1713
DB00451,A4462
DB00451,A10538
DB00451,A9
DB00451,A179605
DB00451,A14219
DB00451,A14220
DB00451,A14221
DB00452,A1713
DB00452,A1715
DB00452,A11206
DB00452,A4897
DB00452,A11847
DB00452,A11848
DB00453,A1713
DB00453,A1715
DB00453,A11207
DB00454,A201779
DB00454,A201782
DB00454,A201785
DB00454,A201788
DB00454,A16829
DB00454,A18239
DB00454,A18240
DB00454,T8
DB00454,A18241
DB00454,A18242
DB00454,A18243
DB00454,A19802
DB00455,A9
DB00455,A4898
DB00455,A4899
DB00455,A4900
DB00455,A4636
DB00455,A4637
DB00455,A4901
DB00455,A685
DB00455,A686
DB00455,A19849
DB00455,A19850
DB00456,A1713
DB00456,A1715
DB00456,A12900
DB00456,A12901
DB00456,A12902
DB00456,A16688
DB00456,A4902
DB00456,A12903
DB00456,A12904
DB00456,A12905
DB00457,A4905
DB00457,A4907
DB00457,A4764
DB00457,A4908
DB00457,A4904
DB00457,A11850
DB00457,A4906
DB00457,A14329
DB00457,A14330
DB00457,A15296
DB00457,A176693
DB00457,A18273
DB00457,A176699
DB00457,A176702
DB00457,A176696
DB00457,A18159
DB00457,F4244
DB00458,A4380
DB00458,A4910
DB00458,A4911
DB00458,A4912
DB00458,A4913
DB00458,A10539
DB00458,A5492
DB00458,A10540
DB00458,A10541
DB00458,A10542
DB00458,A4333
DB00458,A4334
DB00458,A4909
DB00458,A15563
DB00458,A15561
DB00458,A15565
DB00458,A18175
DB00458,A18176
DB00458,A18177
DB00458,A18178
DB00458,A18179
DB00458,A18180
DB00458,A18181
DB00458,A18182
DB00458,A18183
DB00458,A20084
DB00458,A18163
DB00459,A4915
DB00459,A4916
DB00459,A4914
DB00459,A4917
DB00459,A10543
DB00459,A10544
DB00459,A1713
DB00459,A1715
DB00459,A1991
DB00459,A16747
DB00459,L13766
DB00461,A5122
DB00461,A10545
DB00461,A10546
DB00461,A10547
DB00461,A10548
DB00461,A9
DB00461,A4918
DB00461,A4919
DB00461,A4920
DB00461,A4921
DB00462,A16717
DB00462,A9
DB00462,A1713
DB00462,A1715
DB00462,A4922
DB00462,A16511
DB00462,A17198
DB00462,A17199
DB00463,A4384
DB00463,A4382
DB00463,L192
DB00463,A4381
DB00463,A4383
DB00463,A9
DB00463,A1713
DB00463,A1715
DB00463,A16784
DB00464,A4924
DB00464,A4923
DB00464,A1715
DB00464,A9
DB00465,A10550
DB00465,A10552
DB00465,A10553
DB00465,A4927
DB00465,A4928
DB00465,A4929
DB00466,A1713
DB00466,A1715
DB00466,A4930
DB00466,A4931
DB00466,A9
DB00466,A15576
DB00466,A15577
DB00466,A19908
DB00467,A1713
DB00467,A1715
DB00467,A4932
DB00467,A4933
DB00467,A4934
DB00467,A4935
DB00467,A4936
DB00467,A10554
DB00467,A9
DB00467,A13443
DB00467,A13444
DB00468,A16746
DB00468,A11358
DB00468,A11854
DB00468,A9
DB00469,A4941
DB00469,A4937
DB00469,A4938
DB00469,A10555
DB00469,A10556
DB00469,A9
DB00469,A4939
DB00469,A4940
DB00470,A1713
DB00470,A1715
DB00470,A4942
DB00470,A4943
DB00470,A9
DB00470,A4991
DB00470,A15444
DB00471,A4944
DB00471,A4945
DB00471,A4946
DB00471,A4947
DB00471,A4948
DB00471,A9
DB00471,A247270
DB00471,A248050
DB00471,A248055
DB00471,A248060
DB00471,A247240
DB00471,A248065
DB00471,A11855
DB00472,A4950
DB00472,A4951
DB00472,A4952
DB00472,A4953
DB00472,A9
DB00472,A4334
DB00472,L7721
DB00472,A20076
DB00472,A184736
DB00472,A184739
DB00472,A33338
DB00472,A20081
DB00472,A12015
DB00472,A184718
DB00473,A9
DB00473,A202139
DB00474,A1713
DB00474,A1715
DB00474,A4954
DB00474,A9
DB00475,A198975
DB00475,A198957
DB00476,A1999
DB00476,A4592
DB00476,A4955
DB00476,A4951
DB00476,A4593
DB00476,A4956
DB00476,A706
DB00476,A707
DB00476,A708
DB00476,A4957
DB00476,A4958
DB00476,A4959
DB00476,A709
DB00476,A4960
DB00476,A9
DB00476,A10558
DB00476,A10559
DB00476,A1713
DB00476,A1715
DB00476,A10557
DB00477,A4961
DB00477,A4962
DB00477,A4963
DB00477,A4964
DB00477,A9
DB00477,A4965
DB00477,A4966
DB00477,A4967
DB00477,A15550
DB00477,A16692
DB00477,A16693
DB00477,A10560
DB00477,A10561
DB00477,A5407
DB00477,A10516
DB00477,A17554
DB00477,A17555
DB00477,A17556
DB00477,A17557
DB00477,A18157
DB00477,A18158
DB00477,A6295
DB00477,A10878
DB00477,A18159
DB00477,A18160
DB00477,A18161
DB00477,A18162
DB00477,A247910
DB00477,A18163
DB00477,A18164
DB00478,A1715
DB00478,A4968
DB00478,A4969
DB00478,A4970
DB00478,A4971
DB00479,A1713
DB00479,A1715
DB00479,A4972
DB00479,F1954
DB00479,F1949
DB00480,A17982
DB00480,L16028
DB00480,A16844
DB00480,A16845
DB00480,A16846
DB00480,A4973
DB00480,A4974
DB00481,A718
DB00481,A719
DB00481,A720
DB00481,A4975
DB00481,A4976
DB00481,A9
DB00481,A4977
DB00481,A4978
DB00481,A4979
DB00481,A11856
DB00481,A11857
DB00481,A11858
DB00481,A11859
DB00481,A19883
DB00482,A4980
DB00482,A4981
DB00482,A4982
DB00482,A4983
DB00482,A4984
DB00482,L7646
DB00482,A20066
DB00482,A28426
DB00482,A181613
DB00482,T647
DB00482,A11860
DB00482,A11861
DB00482,A11862
DB00482,A11863
DB00482,A11864
DB00482,A238939
DB00483,A10562
DB00483,A10563
DB00483,A5162
DB00483,A10564
DB00483,A10565
DB00483,A10566
DB00483,A10567
DB00483,A10568
DB00483,A10569
DB00483,A9
DB00483,A11865
DB00483,A11866
DB00483,A11867
DB00483,A11868
DB00483,A11869
DB00483,A1713
DB00483,A1715
DB00483,A4985
DB00483,A19818
DB00483,A19993
DB00484,A4986
DB00484,A4987
DB00484,A4988
DB00484,A9
DB00484,A13005
DB00484,A13006
DB00484,A3550
DB00484,A13007
DB00484,A13008
DB00485,A16690
DB00485,A16688
DB00486,A4989
DB00486,A4990
DB00486,A4991
DB00486,A4992
DB00486,A4993
DB00486,A10570
DB00486,A10571
DB00486,A10572
DB00486,A9
DB00487,A1713
DB00487,A1715
DB00487,A4996
DB00487,A10573
DB00487,A10574
DB00487,A10575
DB00487,A4994
DB00487,A4995
DB00487,A4997
DB00487,A4998
DB00487,A4999
DB00487,A5000
DB00487,A9
DB00487,A18274
DB00488,A1713
DB00488,A1715
DB00488,A738
DB00489,A15437
DB00489,A15438
DB00489,A15439
DB00489,A15440
DB00489,A15441
DB00489,A9
DB00489,A11870
DB00489,A11871
DB00489,A11872
DB00489,A10379
DB00489,A4471
DB00490,A5001
DB00490,A5002
DB00490,A5003
DB00490,A5004
DB00490,A5005
DB00490,A9
DB00490,A5006
DB00490,A10576
DB00490,A10577
DB00490,A10578
DB00490,A10579
DB00490,A10580
DB00490,A181751
DB00491,A11344
DB00491,A17508
DB00491,A11342
DB00491,A11343
DB00491,A9
DB00492,A9
DB00492,A12939
DB00492,A12940
DB00492,A741
DB00493,A16688
DB00493,A1713
DB00493,A1715
DB00493,A10581
DB00493,A10582
DB00493,A10583
DB00493,A16302
DB00493,A16405
DB00493,A16239
DB00493,A18349
DB00493,A18352
DB00493,A18355
DB00494,A9
DB00494,A742
DB00494,A743
DB00494,A13449
DB00494,A744
DB00494,A745
DB00494,A480
DB00494,A13038
DB00494,A481
DB00494,A13039
DB00495,A1715
DB00495,A17446
DB00495,A17447
DB00495,A3644
DB00495,A17998
DB00496,A5007
DB00496,A5008
DB00496,A5009
DB00496,A9
DB00496,A15431
DB00497,A752
DB00497,A753
DB00497,A14251
DB00497,A14252
DB00497,A9
DB00498,A1713
DB00498,A1715
DB00498,A5010
DB00498,A9
DB00499,A5011
DB00499,A5012
DB00499,A5013
DB00499,A5014
DB00499,A5015
DB00499,A5016
DB00499,A9
DB00499,A17152
DB00499,A17277
DB00500,A10584
DB00500,A5017
DB00500,A10585
DB00500,A5018
DB00500,A5019
DB00500,A9
DB00500,A5020
DB00501,A9
DB00501,A5021
DB00501,A5022
DB00501,A5023
DB00501,A226848
DB00501,A247200
DB00501,A247205
DB00501,A249825
DB00501,L30280
DB00502,A27477
DB00502,A5024
DB00502,A5025
DB00502,A5026
DB00502,A9
DB00502,A5027
DB00502,A5028
DB00502,A5029
DB00502,A4965
DB00502,A15354
DB00502,A15355
DB00502,A15356
DB00502,A15357
DB00502,A10419
DB00502,A20275
DB00502,A180640
DB00502,A11873
DB00502,A11874
DB00502,A11875
DB00502,A11876
DB00502,A11877
DB00502,A11878
DB00502,A10913
DB00503,A4346
DB00503,A5030
DB00503,A4347
DB00503,A5031
DB00503,A4358
DB00503,L12357
DB00503,A15669
DB00503,A19900
DB00504,A5032
DB00504,A5033
DB00504,A5034
DB00504,A5035
DB00504,A5036
DB00505,A1713
DB00505,A1715
DB00507,A15426
DB00507,A15427
DB00508,A202007
