drug,reference
DB00044,A77
DB00044,A9
DB00045,A15360
DB00046,A9
DB00046,A15263
DB00046,A15264
DB00046,A1927
DB00046,A231659
DB00046,A174883
DB00046,A231649
DB00046,A231654
DB00047,A9
DB00047,A1924
DB00047,A1927
DB00047,A1930
DB00047,A174883
DB00047,A174886
DB00048,A1932
DB00048,A1934
DB00048,A1935
DB00048,A1937
DB00048,A1940
DB00048,A13193
DB00048,A13194
DB00048,A13195
DB00048,A13196
DB00048,A13197
DB00048,A1713
DB00048,A1715
DB00048,A13198
DB00049,A1713
DB00049,A1715
DB00049,A6675
DB00049,A6676
DB00049,A6677
DB00049,A6678
DB00050,A11389
DB00050,A11390
DB00050,A11391
DB00050,A11392
DB00050,A1743
DB00050,A9
DB00050,A1713
DB00050,A1715
DB00050,A1942
DB00051,A1943
DB00051,A1946
DB00051,A1948
DB00051,A1951
DB00051,A249125
DB00052,A1954
DB00052,A1957
DB00052,A1958
DB00052,A1961
DB00052,A1963
DB00052,A9
DB00052,A228183
DB00052,A13199
DB00052,A13200
DB00052,A13201
DB00052,A13202
DB00053,A95
DB00054,A1978
DB00054,A11611
DB00054,A11612
DB00054,A9
DB00054,A11613
DB00054,A11614
DB00054,A15406
DB00054,A15407
DB00055,A1965
DB00055,A1967
DB00055,A9
DB00055,A241023
DB00055,A6703
DB00055,A6704
DB00055,A6705
DB00055,A6706
DB00055,A6707
DB00055,A6708
DB00055,A6709
DB00055,A6710
DB00055,A6711
DB00055,A11615
DB00055,A11616
DB00055,A11617
DB00055,A11618
DB00055,A11619
DB00055,A11620
DB00055,A11621
DB00055,A11622
DB00055,A13203
DB00055,A13204
DB00055,A13205
DB00055,A13206
DB00055,A13207
DB00055,A13208
DB00055,A13209
DB00055,A13210
DB00055,A13211
DB00055,A199071
DB00055,A13212
DB00055,A13213
DB00055,A13214
DB00055,A13215
DB00056,A1969
DB00056,A1970
DB00056,A1973
DB00056,A98
DB00056,A1974
DB00056,A1976
DB00056,A9
DB00056,A247090
DB00056,A13216
DB00056,A13217
DB00056,A13218
DB00056,A1713
DB00056,A1715
DB00057,A1713
DB00057,A1715
DB00057,A6679
DB00058,A14064
DB00058,A102
DB00058,A9
DB00059,A1713
DB00059,A1715
DB00059,A6673
DB00059,A6670
DB00059,A6674
DB00060,A14065
DB00060,A16953
DB00060,A16954
DB00060,A16955
DB00061,A1713
DB00061,A1715
DB00061,A6680
DB00061,A6681
DB00061,A6682
DB00061,A13219
DB00062,A40060
DB00062,A40069
DB00062,A40070
DB00063,A1978
DB00063,A1980
DB00063,A1982
DB00063,A1984
DB00063,A1987
DB00063,A1988
DB00063,A1991
DB00063,A247185
DB00065,A9
DB00065,A1993
DB00065,A1994
DB00065,A1996
DB00065,A1998
DB00065,A2000
DB00065,A2002
DB00065,A2004
DB00065,A2005
DB00065,A2007
DB00065,A2009
DB00066,A2011
DB00066,A2013
DB00066,A2014
DB00066,A2017
DB00066,A2019
DB00066,A109
DB00066,A9
DB00067,A6712
DB00067,A6713
DB00067,A6714
DB00067,A6715
DB00067,A9
DB00067,A228008
